unit	V2
1	11	5068635
2	21	1166123
3	22	1379007
4	41	1205986
5	51	3764330
6	71	2950591
7	81	818062
8	82	2880062
9	91	1879262
10	111	2093454
11	121	2666269
12	122	3105166
13	141	1090575
14	151	2074528
15	161	1013206
16	171	1549391
17	1171	1885793
18	1272	4818277
19	2371	9108081
20	2471	9640026
21	2571	16623210
22	2651	867169
23	2661	1331233
24	2662	808233
25	2663	694431
26	2664	1678680
27	2665	1323673
28	2666	810880
29	2751	6701305
30	3153	825650
31	3171	1481446
32	3351	2293486
33	3451	30200
34	3551	702204
35	4151	2799000
36	4251	6061477
37	4351	6576585
38	4352	4342769
39	5151	196405
40	6151	199415
41	6271	3082505
42	6452	451300
43	6471	5475086
44	7151	976755
45	7152	2849375
46	7251	356500
47	7351	1802933
48	7352	1968874
49	7451	5299980
50	8151	1585726
51	8152	4026442
52	8251	3405292
53	8351	6424572
54	8451	4011815
55	8462	1387108
56	8551	2972200
57	8562	174400
58	8651	2175248
59	8652	1447733
60	8663	857169
61	8664	937846
62	8665	1502489
63	8666	1489433
64	8751	2578615
65	8762	1398320
66	8763	1490000
67	8764	1686800
68	9351	10848308
69	9352	3963500
70	9471	9956524
71	9551	1209477
72	9751	7711508
73	11161	3819262
74	11262	2560365
75	11263	2499723
