MgmtUnit	x
1	11	1720344
2	21	128920
3	22	43840
4	41	1139667
5	51	3621689
6	71	2426467
7	81	83800
8	82	180640
9	91	83760
10	111	652800
11	121	2023778
12	122	2001283
13	141	1239792
14	151	2526722
15	161	2875378
16	171	2667320
17	1171	701044
18	1272	672956
19	2371	617652
20	2471	390600
21	2571	727240
22	2651	28067
23	2661	57400
24	2662	37200
25	2663	27600
26	2664	57933
27	2665	65067
28	2666	41233
29	2751	291960
30	3153	24300
31	3171	486292
32	3351	280167
33	3451	90511
34	3551	294967
35	4151	1223344
36	4251	1103743
37	4351	263433
38	4352	701633
39	5151	193444
40	6151	360689
41	6271	1153533
42	6452	826622
43	6471	3516717
44	7151	1467489
45	7152	1995411
46	7251	775689
47	7351	1946611
48	7352	1004444
49	7451	1408613
50	8151	1570978
51	8152	1269356
52	8251	276400
53	8351	738184
54	8451	158733
55	8462	53400
56	8551	77240
57	8562	11200
58	8651	68280
59	8652	53400
60	8663	40233
61	8664	35700
62	8665	83233
63	8666	67900
64	8751	85000
65	8762	72533
66	8763	61800
67	8764	29267
68	9351	466967
69	9352	189200
70	9471	617329
71	9551	44867
72	9751	273433
73	11161	432178
74	11262	252760
75	11263	201200
