Age	SI	x
0	SI19	7
5	SI19	7
10	SI19	14
15	SI19	21
20	SI19	28
25	SI19	35
30	SI19	42
35	SI19	49
40	SI19	56
45	SI19	63
50	SI19	70
55	SI19	78
60	SI19	88
65	SI19	101
70	SI19	113
75	SI19	125
80	SI19	133
85	SI19	144
90	SI19	153
95	SI19	166
100	SI19	180
105	SI19	188
110	SI19	194
115	SI19	200
120	SI19	205
125	SI19	210
130	SI19	211
135	SI19	209
140	SI19	205
145	SI19	200
150	SI19	195
0	SI12	6
5	SI12	6
10	SI12	6
15	SI12	9
20	SI12	12
25	SI12	15
30	SI12	18
35	SI12	21
40	SI12	24
45	SI12	27
50	SI12	30
55	SI12	37
60	SI12	45
65	SI12	55
70	SI12	67
75	SI12	78
80	SI12	89
85	SI12	102
90	SI12	115
95	SI12	125
100	SI12	130
105	SI12	134
110	SI12	136
115	SI12	138
120	SI12	139
125	SI12	140
130	SI12	140
135	SI12	138
140	SI12	136
145	SI12	133
150	SI12	130
0	SI9	5
5	SI9	5
10	SI9	5
15	SI9	5
20	SI9	5
25	SI9	5
30	SI9	5
35	SI9	5
40	SI9	5
45	SI9	7
50	SI9	10
55	SI9	13
60	SI9	17
65	SI9	21
70	SI9	25
75	SI9	30
80	SI9	37
85	SI9	43
90	SI9	50
95	SI9	55
100	SI9	60
105	SI9	63
110	SI9	67
115	SI9	70
120	SI9	73
125	SI9	75
130	SI9	75
135	SI9	74
140	SI9	73
145	SI9	72
150	SI9	70
