lower	upper	frz	p
4	50	A	0.65746181
50	100	A	0.131022327
100	150	A	0.068155112
150	200	A	0.037015276
200	250	A	0.017626322
250	300	A	0.017038778
300	350	A	0.009400705
350	400	A	0.010575793
400	450	A	0.009988249
450	500	A	0.005287897
500	550	A	0.004112808
550	600	A	0.003525264
600	650	A	0.001762632
650	700	A	0.001175088
700	750	A	0.00293772
750	800	A	0.002350176
800	850	A	0.001762632
850	900	A	0.00293772
900	950	A	0.000587544
950	1000	A	0.00293772
1000	1050	A	0.000587544
1050	1100	A	0.001762632
1150	1200	A	0.001175088
1200	1250	A	0.001175088
1250	1300	A	0.000587544
1300	1350	A	0.001175088
1400	1450	A	0.001762632
1500	1550	A	0.001175088
1800	1850	A	0.000587544
2000	2050	A	0.000587544
2150	2200	A	0.000587544
2250	2300	A	0.000587544
3850	3900	A	0.000587544
4	50	B 	0.65746181
50	100	B 	0.131022327
100	150	B 	0.068155112
150	200	B 	0.037015276
200	250	B 	0.017626322
250	300	B 	0.017038778
300	350	B 	0.009400705
350	400	B 	0.010575793
400	450	B 	0.009988249
450	500	B 	0.005287897
500	550	B 	0.004112808
550	600	B 	0.003525264
600	650	B 	0.001762632
650	700	B 	0.001175088
700	750	B 	0.00293772
750	800	B 	0.002350176
800	850	B 	0.001762632
850	900	B 	0.00293772
900	950	B 	0.000587544
950	1000	B 	0.00293772
1000	1050	B 	0.000587544
1050	1100	B 	0.001762632
1150	1200	B 	0.001175088
1200	1250	B 	0.001175088
1250	1300	B 	0.000587544
1300	1350	B 	0.001175088
1400	1450	B 	0.001762632
1500	1550	B 	0.001175088
1800	1850	B 	0.000587544
2000	2050	B 	0.000587544
2150	2200	B 	0.000587544
2250	2300	B 	0.000587544
3850	3900	B 	0.000587544
4	50	C	0.65746181
50	100	C	0.131022327
100	150	C	0.068155112
150	200	C	0.037015276
200	250	C	0.017626322
250	300	C	0.017038778
300	350	C	0.009400705
350	400	C	0.010575793
400	450	C	0.009988249
450	500	C	0.005287897
500	550	C	0.004112808
550	600	C	0.003525264
600	650	C	0.001762632
650	700	C	0.001175088
700	750	C	0.00293772
750	800	C	0.002350176
800	850	C	0.001762632
850	900	C	0.00293772
900	950	C	0.000587544
950	1000	C	0.00293772
1000	1050	C	0.000587544
1050	1100	C	0.001762632
1150	1200	C	0.001175088
1200	1250	C	0.001175088
1250	1300	C	0.000587544
1300	1350	C	0.001175088
1400	1450	C	0.001762632
1500	1550	C	0.001175088
1800	1850	C	0.000587544
2000	2050	C	0.000587544
2150	2200	C	0.000587544
2250	2300	C	0.000587544
3850	3900	C	0.000587544
4	50	D	0.682317073
50	100	D	0.13597561
100	150	D	0.070731707
150	200	D	0.038414634
200	250	D	0.018292683
250	300	D	0.017682927
300	350	D	0.009756098
350	400	D	0.01097561
400	450	D	0.010365854
450	500	D	0.005487805
500	550	D	0
550	600	D	0
600	650	D	0
650	700	D	0
700	750	D	0
750	800	D	0
800	850	D	0
850	900	D	0
900	950	D	0
950	1000	D	0
1000	1050	D	0
1050	1100	D	0
1150	1200	D	0
1200	1250	D	0
1250	1300	D	0
1300	1350	D	0
1400	1450	D	0
1500	1550	D	0
1800	1850	D	0
2000	2050	D	0
2150	2200	D	0
2250	2300	D	0
3850	3900	D	0
4	50	E	0.682317073
50	100	E	0.13597561
100	150	E	0.070731707
150	200	E	0.038414634
200	250	E	0.018292683
250	300	E	0.017682927
300	350	E	0.009756098
350	400	E	0.01097561
400	450	E	0.010365854
450	500	E	0.005487805
500	550	E	0
550	600	E	0
600	650	E	0
650	700	E	0
700	750	E	0
750	800	E	0
800	850	E	0
850	900	E	0
900	950	E	0
950	1000	E	0
1000	1050	E	0
1050	1100	E	0
1150	1200	E	0
1200	1250	E	0
1250	1300	E	0
1300	1350	E	0
1400	1450	E	0
1500	1550	E	0
1800	1850	E	0
2000	2050	E	0
2150	2200	E	0
2250	2300	E	0
3850	3900	E	0
4	50	F	0.65746181
50	100	F	0.131022327
100	150	F	0.068155112
150	200	F	0.037015276
200	250	F	0.017626322
250	300	F	0.017038778
300	350	F	0.009400705
350	400	F	0.010575793
400	450	F	0.009988249
450	500	F	0.005287897
500	550	F	0.004112808
550	600	F	0.003525264
600	650	F	0.001762632
650	700	F	0.001175088
700	750	F	0.00293772
750	800	F	0.002350176
800	850	F	0.001762632
850	900	F	0.00293772
900	950	F	0.000587544
950	1000	F	0.00293772
1000	1050	F	0.000587544
1050	1100	F	0.001762632
1150	1200	F	0.001175088
1200	1250	F	0.001175088
1250	1300	F	0.000587544
1300	1350	F	0.001175088
1400	1450	F	0.001762632
1500	1550	F	0.001175088
1800	1850	F	0.000587544
2000	2050	F	0.000587544
2150	2200	F	0.000587544
2250	2300	F	0.000587544
3850	3900	F	0.000587544
4	50	G	0.65746181
50	100	G	0.131022327
100	150	G	0.068155112
150	200	G	0.037015276
200	250	G	0.017626322
250	300	G	0.017038778
300	350	G	0.009400705
350	400	G	0.010575793
400	450	G	0.009988249
450	500	G	0.005287897
500	550	G	0.004112808
550	600	G	0.003525264
600	650	G	0.001762632
650	700	G	0.001175088
700	750	G	0.00293772
750	800	G	0.002350176
800	850	G	0.001762632
850	900	G	0.00293772
900	950	G	0.000587544
950	1000	G	0.00293772
1000	1050	G	0.000587544
1050	1100	G	0.001762632
1150	1200	G	0.001175088
1200	1250	G	0.001175088
1250	1300	G	0.000587544
1300	1350	G	0.001175088
1400	1450	G	0.001762632
1500	1550	G	0.001175088
1800	1850	G	0.000587544
2000	2050	G	0.000587544
2150	2200	G	0.000587544
2250	2300	G	0.000587544
3850	3900	G	0.000587544
