lower	upper	frz	p
4	50	A	0.331791908
50	100	A	0.264739884
100	150	A	0.141040462
150	200	A	0.079768786
200	250	A	0.041618497
250	300	A	0.040462428
300	350	A	0.025433526
350	400	A	0.027745665
400	450	A	0.026589595
450	500	A	0.01734104
4	50	B	0.331791908
50	100	B	0.264739884
100	150	B	0.141040462
150	200	B	0.079768786
200	250	B	0.041618497
250	300	B	0.040462428
300	350	B	0.025433526
350	400	B	0.027745665
400	450	B	0.026589595
450	500	B	0.01734104
4	50	C	0.331791908
50	100	C	0.264739884
100	150	C	0.141040462
150	200	C	0.079768786
200	250	C	0.041618497
250	300	C	0.040462428
300	350	C	0.025433526
350	400	C	0.027745665
400	450	C	0.026589595
450	500	C	0.01734104
4	50	D	0.331791908
50	100	D	0.264739884
100	150	D	0.141040462
150	200	D	0.079768786
200	250	D	0.041618497
250	300	D	0.040462428
300	350	D	0.025433526
350	400	D	0.027745665
400	450	D	0.026589595
450	500	D	0.01734104
25	50	E	0.324855491
50	100	E	0.257803468
100	150	E	0.134104046
150	200	E	0.07283237
200	250	E	0.034682081
250	300	E	0.033526012
300	350	E	0.01849711
350	400	E	0.020809249
400	450	E	0.019653179
450	500	E	0.010404624
500	550	E	0.008092486
550	600	E	0.006936416
600	650	E	0.003468208
650	700	E	0.002312139
700	750	E	0.005780347
750	800	E	0.004624277
800	850	E	0.003468208
850	900	E	0.005780347
900	950	E	0.001156069
950	1000	E	0.005780347
1000	1050	E	0.001156069
1050	1100	E	0.003468208
1150	1200	E	0.002312139
1200	1250	E	0.002312139
1250	1300	E	0.001156069
1300	1350	E	0.002312139
1400	1450	E	0.003468208
1500	1550	E	0.003468208
1800	1850	E	0.002312139
1950	2000	E	0.003468208
25	50	F	0.324855491
50	100	F	0.257803468
100	150	F	0.134104046
150	200	F	0.07283237
200	250	F	0.034682081
250	300	F	0.033526012
300	350	F	0.01849711
350	400	F	0.020809249
400	450	F	0.019653179
450	500	F	0.010404624
500	550	F	0.008092486
550	600	F	0.006936416
600	650	F	0.003468208
650	700	F	0.002312139
700	750	F	0.005780347
750	800	F	0.004624277
800	850	F	0.003468208
850	900	F	0.005780347
900	950	F	0.001156069
950	1000	F	0.005780347
1000	1050	F	0.001156069
1050	1100	F	0.003468208
1150	1200	F	0.002312139
1200	1250	F	0.002312139
1250	1300	F	0.001156069
1300	1350	F	0.002312139
1400	1450	F	0.003468208
1500	1550	F	0.003468208
1800	1850	F	0.002312139
1950	2000	F	0.003468208
25	50	G	0.324855491
50	100	G	0.257803468
100	150	G	0.134104046
150	200	G	0.07283237
200	250	G	0.034682081
250	300	G	0.033526012
300	350	G	0.01849711
350	400	G	0.020809249
400	450	G	0.019653179
450	500	G	0.010404624
500	550	G	0.008092486
550	600	G	0.006936416
600	650	G	0.003468208
650	700	G	0.002312139
700	750	G	0.005780347
750	800	G	0.004624277
800	850	G	0.003468208
850	900	G	0.005780347
900	950	G	0.001156069
950	1000	G	0.005780347
1000	1050	G	0.001156069
1050	1100	G	0.003468208
1150	1200	G	0.002312139
1200	1250	G	0.002312139
1250	1300	G	0.001156069
1300	1350	G	0.002312139
1400	1450	G	0.003468208
1500	1550	G	0.003468208
1800	1850	G	0.002312139
1950	2000	G	0.003468208
25	50	H	0.324855491
50	100	H	0.257803468
100	150	H	0.134104046
150	200	H	0.07283237
200	250	H	0.034682081
250	300	H	0.033526012
300	350	H	0.01849711
350	400	H	0.020809249
400	450	H	0.019653179
450	500	H	0.010404624
500	550	H	0.008092486
550	600	H	0.006936416
600	650	H	0.003468208
650	700	H	0.002312139
700	750	H	0.005780347
750	800	H	0.004624277
800	850	H	0.003468208
850	900	H	0.005780347
900	950	H	0.001156069
950	1000	H	0.005780347
1000	1050	H	0.001156069
1050	1100	H	0.003468208
1150	1200	H	0.002312139
1200	1250	H	0.002312139
1250	1300	H	0.001156069
1300	1350	H	0.002312139
1400	1450	H	0.003468208
1500	1550	H	0.003468208
1800	1850	H	0.002312139
1950	2000	H	0.003468208
25	50	I	0.324855491
50	100	I	0.257803468
100	150	I	0.134104046
150	200	I	0.07283237
200	250	I	0.034682081
250	300	I	0.033526012
300	350	I	0.01849711
350	400	I	0.020809249
400	450	I	0.019653179
450	500	I	0.010404624
500	550	I	0.008092486
550	600	I	0.006936416
600	650	I	0.003468208
650	700	I	0.002312139
700	750	I	0.005780347
750	800	I	0.004624277
800	850	I	0.003468208
850	900	I	0.005780347
900	950	I	0.001156069
950	1000	I	0.005780347
1000	1050	I	0.001156069
1050	1100	I	0.003468208
1150	1200	I	0.002312139
1200	1250	I	0.002312139
1250	1300	I	0.001156069
1300	1350	I	0.002312139
1400	1450	I	0.003468208
1500	1550	I	0.003468208
1800	1850	I	0.002312139
1950	2000	I	0.003468208
25	50	J	0.324855491
50	100	J	0.257803468
100	150	J	0.134104046
150	200	J	0.07283237
200	250	J	0.034682081
250	300	J	0.033526012
300	350	J	0.01849711
350	400	J	0.020809249
400	450	J	0.019653179
450	500	J	0.010404624
500	550	J	0.008092486
550	600	J	0.006936416
600	650	J	0.003468208
650	700	J	0.002312139
700	750	J	0.005780347
750	800	J	0.004624277
800	850	J	0.003468208
850	900	J	0.005780347
900	950	J	0.001156069
950	1000	J	0.005780347
1000	1050	J	0.001156069
1050	1100	J	0.003468208
1150	1200	J	0.002312139
1200	1250	J	0.002312139
1250	1300	J	0.001156069
1300	1350	J	0.002312139
1400	1450	J	0.003468208
1500	1550	J	0.003468208
1800	1850	J	0.002312139
1950	2000	J	0.003468208
25	50	K	0.324855491
50	100	K	0.257803468
100	150	K	0.134104046
150	200	K	0.07283237
200	250	K	0.034682081
250	300	K	0.033526012
300	350	K	0.01849711
350	400	K	0.020809249
400	450	K	0.019653179
450	500	K	0.010404624
500	550	K	0.008092486
550	600	K	0.006936416
600	650	K	0.003468208
650	700	K	0.002312139
700	750	K	0.005780347
750	800	K	0.004624277
800	850	K	0.003468208
850	900	K	0.005780347
900	950	K	0.001156069
950	1000	K	0.005780347
1000	1050	K	0.001156069
1050	1100	K	0.003468208
1150	1200	K	0.002312139
1200	1250	K	0.002312139
1250	1300	K	0.001156069
1300	1350	K	0.002312139
1400	1450	K	0.003468208
1500	1550	K	0.003468208
1800	1850	K	0.002312139
1950	2000	K	0.003468208
25	50	L	0.324855491
50	100	L	0.257803468
100	150	L	0.134104046
150	200	L	0.07283237
200	250	L	0.034682081
250	300	L	0.033526012
300	350	L	0.01849711
350	400	L	0.020809249
400	450	L	0.019653179
450	500	L	0.010404624
500	550	L	0.008092486
550	600	L	0.006936416
600	650	L	0.003468208
650	700	L	0.002312139
700	750	L	0.005780347
750	800	L	0.004624277
800	850	L	0.003468208
850	900	L	0.005780347
900	950	L	0.001156069
950	1000	L	0.005780347
1000	1050	L	0.001156069
1050	1100	L	0.003468208
1150	1200	L	0.002312139
1200	1250	L	0.002312139
1250	1300	L	0.001156069
1300	1350	L	0.002312139
1400	1450	L	0.003468208
1500	1550	L	0.003468208
1800	1850	L	0.002312139
1950	2000	L	0.003468208
25	50	M	0.324855491
50	100	M	0.257803468
100	150	M	0.134104046
150	200	M	0.07283237
200	250	M	0.034682081
250	300	M	0.033526012
300	350	M	0.01849711
350	400	M	0.020809249
400	450	M	0.019653179
450	500	M	0.010404624
500	550	M	0.008092486
550	600	M	0.006936416
600	650	M	0.003468208
650	700	M	0.002312139
700	750	M	0.005780347
750	800	M	0.004624277
