spp	potential.spp	ptrans
SAB 	SAB 	90
SAB 	EPN	5
SAB 	PET	1
SAB 	ERS	5
SAB	BOJ	5
SAB 	OTH	1
SAB 	NonFor	0
EPN	SAB 	15
EPN	EPN	80
EPN	PET	1
EPN	ERS	1
EPN	BOJ	1
EPN	OTH	1
EPN	NonFor	0
PET	SAB 	20
PET	EPN	35
PET	PET	10
PET	ERS	10
PET	BOJ	15
PET	OTH	5
PET	NonFor	0
ERS	SAB 	1
ERS	EPN	1
ERS	PET	10
ERS	ERS	85
ERS	BOJ	5
ERS	OTH	5
ERS	NonFor	0
BOJ	SAB 	15
BOJ	EPN	1
BOJ	PET	10
BOJ	ERS	25
BOJ	BOJ	60
BOJ	OTH	15
BOJ	NonFor	0
OTH.RES.N	SAB 	5
OTH.RES.N	EPN	15
OTH.RES.N	PET	10
OTH.RES.N	ERS	5
OTH.RES.N	BOJ	5
OTH.RES.N	OTH	75
OTH.RES.N	NonFor	0
OTH.FEU.N	SAB 	5
OTH.FEU.N	EPN	15
OTH.FEU.N	PET	10
OTH.FEU.N	ERS	5
OTH.FEU.N	BOJ	5
OTH.FEU.N	OTH	75
OTH.FEU.N	NonFor	0
OTH.RES.S	SAB 	5
OTH.RES.S	EPN	15
OTH.RES.S	PET	10
OTH.RES.S	ERS	5
OTH.RES.S	BOJ	5
OTH.RES.S	OTH	75
OTH.RES.S	NonFor	0
OTH.FEU.S	SAB 	5
OTH.FEU.S	EPN	15
OTH.FEU.S	PET	10
OTH.FEU.S	ERS	5
OTH.FEU.S	BOJ	5
OTH.FEU.S	OTH	75
OTH.FEU.S	NonFor	0
NonFor	SAB 	0
NonFor	EPN	0
NonFor	PET	0
NonFor	ERS	0
NonFor	BOJ	0
NonFor	OTH	0
NonFor	NonFor	100
