spp	potential.spp	ptrans
SAB 	SAB 	70
SAB 	EPN	15
SAB 	PET	5
SAB 	ERS	1
SAB	BOJ	15
SAB 	OTH	1
SAB 	NonFor	0
EPN	SAB 	20
EPN	EPN	60
EPN	PET	20
EPN	ERS	1
EPN	BOJ	1
EPN	OTH	1
EPN	NonFor	0
PET	SAB 	15
PET	EPN	15
PET	PET	40
PET	ERS	10
PET	BOJ	12
PET	OTH	20
PET	NonFor	0
ERS	SAB 	1
ERS	EPN	1
ERS	PET	1
ERS	ERS	90
ERS	BOJ	5
ERS	OTH	5
ERS	NonFor	0
BOJ	SAB 	20
BOJ	EPN	1
BOJ	PET	10
BOJ	ERS	25
BOJ	BOJ	55
BOJ	OTH	1
BOJ	NonFor	0
OTH.RES.N	SAB 	10
OTH.RES.N	EPN	10
OTH.RES.N	PET	10
OTH.RES.N	ERS	10
OTH.RES.N	BOJ	5
OTH.RES.N	OTH	55
OTH.RES.N	NonFor	0
OTH.FEU.N	SAB 	10
OTH.FEU.N	EPN	10
OTH.FEU.N	PET	10
OTH.FEU.N	ERS	10
OTH.FEU.N	BOJ	5
OTH.FEU.N	OTH	55
OTH.FEU.N	NonFor	0
OTH.RES.S	SAB 	10
OTH.RES.S	EPN	10
OTH.RES.S	PET	10
OTH.RES.S	ERS	10
OTH.RES.S	BOJ	5
OTH.RES.S	OTH	55
OTH.RES.S	NonFor	0
OTH.FEU.S	SAB 	10
OTH.FEU.S	EPN	10
OTH.FEU.S	PET	10
OTH.FEU.S	ERS	10
OTH.FEU.S	BOJ	5
OTH.FEU.S	OTH	55
OTH.FEU.S	NonFor	0
NonFor	SAB 	0
NonFor	EPN	0
NonFor	PET	0
NonFor	ERS	0
NonFor	BOJ	0
NonFor	OTH	0
NonFor	NonFor	100
