spp	potential.spp	ptrans
SAB	SAB	30
SAB	EPN	35
SAB	PET	20
SAB	ERS	0
SAB	BOJ	1
SAB	OTH	10
SAB	NonFor	0
EPN	SAB	10
EPN	EPN	85
EPN	PET	5
EPN	ERS	0
EPN	BOJ	1
EPN	OTH	5
EPN	NonFor	0
PET	SAB	1
PET	EPN	25
PET	PET	70
PET	ERS	1
PET	BOJ	1
PET	OTH	5
PET	NonFor	0
ERS	SAB	0
ERS	EPN	0
ERS	PET	60
ERS	ERS	20
ERS	BOJ	10
ERS	OTH	25
ERS	NonFor	0
BOJ	SAB	0
BOJ	EPN	0
BOJ	PET	75
BOJ	ERS	20
BOJ	BOJ	20
BOJ	OTH	25
BOJ	NonFor	0
OTH.RES.N	SAB	5
OTH.RES.N	EPN	20
OTH.RES.N	PET	15
OTH.RES.N	ERS	10
OTH.RES.N	BOJ	5
OTH.RES.N	OTH	35
OTH.RES.N	NonFor	0
OTH.FEU.N	SAB	5
OTH.FEU.N	EPN	20
OTH.FEU.N	PET	15
OTH.FEU.N	ERS	10
OTH.FEU.N	BOJ	5
OTH.FEU.N	OTH	35
OTH.FEU.N	NonFor	0
OTH.RES.S	SAB	5
OTH.RES.S	EPN	20
OTH.RES.S	PET	15
OTH.RES.S	ERS	10
OTH.RES.S	BOJ	5
OTH.RES.S	OTH	35
OTH.RES.S	NonFor	0
OTH.FEU.S	SAB	5
OTH.FEU.S	EPN	20
OTH.FEU.S	PET	15
OTH.FEU.S	ERS	10
OTH.FEU.S	BOJ	5
OTH.FEU.S	OTH	35
OTH.FEU.S	NonFor	0
NonFor	SAB	0
NonFor	EPN	0
NonFor	PET	0
NonFor	ERS	0
NonFor	BOJ	0
NonFor	OTH	0
NonFor	NonFor	100
