SppGrp	PotSpp	ptrans
SAB 	SAB 	70
SAB 	EPN	15
SAB 	PET	5
SAB 	ERS	1
SAB	BOJ	15
SAB 	OTH	1
SAB 	NonFor	0
EPN	SAB 	20
EPN	EPN	60
EPN	PET	20
EPN	ERS	1
EPN	BOJ	1
EPN	OTH	1
EPN	NonFor	0
PET	SAB 	15
PET	EPN	15
PET	PET	40
PET	ERS	10
PET	BOJ	12
PET	OTH	20
PET	NonFor	0
ERS	SAB 	1
ERS	EPN	1
ERS	PET	1
ERS	ERS	90
ERS	BOJ	5
ERS	OTH	5
ERS	NonFor	0
BOJ	SAB 	20
BOJ	EPN	1
BOJ	PET	10
BOJ	ERS	25
BOJ	BOJ	55
BOJ	OTH	1
BOJ	NonFor	0
OthCB	SAB 	10
OthCB	EPN	10
OthCB	PET	10
OthCB	ERS	10
OthCB	BOJ	5
OthCB	OTH	55
OthCB	NonFor	0
OthDB	SAB 	10
OthDB	EPN	10
OthDB	PET	10
OthDB	ERS	10
OthDB	BOJ	5
OthDB	OTH	55
OthDB	NonFor	0
OthCT	SAB 	10
OthCT	EPN	10
OthCT	PET	10
OthCT	ERS	10
OthCT	BOJ	5
OthCT	OTH	55
OthCT	NonFor	0
OthDT	SAB 	10
OthDT	EPN	10
OthDT	PET	10
OthDT	ERS	10
OthDT	BOJ	5
OthDT	OTH	55
OthDT	NonFor	0
NonFor	SAB 	0
NonFor	EPN	0
NonFor	PET	0
NonFor	ERS	0
NonFor	BOJ	0
NonFor	OTH	0
NonFor	NonFor	100
