frz	GCM	RCP	SEP0	SEP1	SEP2	rSEP1	rSEP2
A	GCM4_ESM2_10km	rcp26	34.513752195122	38.2394770731707	39.3869765853659	1.10796601500341	1.14134852860764
B	GCM4_ESM2_10km	rcp26	29.1124707317073	32.3293829268293	33.2112024390244	1.11054202911145	1.14064257922314
C	GCM4_ESM2_10km	rcp26	30.1592833333333	33.2270748062015	34.1150821705426	1.10121328023616	1.13086372591598
D	GCM4_ESM2_10km	rcp26	35.2454594594595	39.8693007722008	39.7451181467181	1.13018655143863	1.12693581200369
E	GCM4_ESM2_10km	rcp26	29.5757980099502	33.0224776119403	33.6124582089552	1.1153120777868	1.13558135175582
F	GCM4_ESM2_10km	rcp26	29.7770783505155	32.9537793814433	33.8910577319588	1.10583741435281	1.13795306283592
G	GCM4_ESM2_10km	rcp26	24.0470365591398	26.0653612903226	27.0172344086021	1.0834313095596	1.12253160120612
H	GCM4_ESM2_10km	rcp26	32.6981087179487	36.6710692307692	37.028281025641	1.12092913260507	1.13193997425459
A	GCM4_ESM2_10km	rcp45	34.534327804878	45.7610668292683	48.5069380487805	1.32525809990927	1.40435872836688
B	GCM4_ESM2_10km	rcp45	28.7174317073171	38.2653390243902	40.0204707317073	1.33236356944342	1.39330222749637
C	GCM4_ESM2_10km	rcp45	29.6744875968992	39.0904007751938	40.8444635658915	1.31775302060718	1.37635604681568
D	GCM4_ESM2_10km	rcp45	35.2868737451737	44.7512	47.7109961389961	1.26961041675071	1.35327711461652
E	GCM4_ESM2_10km	rcp45	28.9127512437811	36.596392039801	39.0888930348259	1.26446372950645	1.35141711383093
F	GCM4_ESM2_10km	rcp45	28.9917319587629	37.9991072164948	40.0464231958763	1.3116024416754	1.38169704448496
G	GCM4_ESM2_10km	rcp45	23.0042107526882	30.3418129032258	31.5996903225806	1.31723602564243	1.37151489816018
H	GCM4_ESM2_10km	rcp45	32.3638343589744	41.8746994871795	44.2501374358974	1.29481286680783	1.36812331726463
A	GCM4_ESM2_10km	rcp85	35.6861165853659	43.857156097561	54.8638175609756	1.22889944851302	1.53763388740946
B	GCM4_ESM2_10km	rcp85	29.8062048780488	36.5441536585366	46.2939170731707	1.22591002188232	1.55314897870613
C	GCM4_ESM2_10km	rcp85	30.8177988372093	37.2465492248062	47.6385724806202	1.20893582687351	1.54711874020078
D	GCM4_ESM2_10km	rcp85	36.5722123552124	42.8816254826255	53.7443235521236	1.17287181048082	1.46916446704762
E	GCM4_ESM2_10km	rcp85	30.0701139303483	36.240971641791	46.7391606965174	1.20685185221057	1.55720228142463
F	GCM4_ESM2_10km	rcp85	30.2037556701031	36.8249268041237	47.8994943298969	1.21949569671802	1.58770139236662
G	GCM4_ESM2_10km	rcp85	24.1198860215054	29.5882247311828	38.6771505376344	1.22659503730913	1.60196477367989
H	GCM4_ESM2_10km	rcp85	33.6172876923077	39.8521056410256	49.9251307692308	1.18594364670154	1.48531507723991
A	HadGEM2_ES_10km	rcp26	36.0623346341463	37.28944	33.9195443902439	1.03512243962164	0.941901470575616
B	HadGEM2_ES_10km	rcp26	30.5206926829268	32.9811268292683	30.3002609756098	1.08085623748899	0.993038415363735
C	HadGEM2_ES_10km	rcp26	31.3032949612403	34.1374821705426	31.3852608527132	1.09132765613919	1.00387593754107
D	HadGEM2_ES_10km	rcp26	35.6093895752896	37.5605548262548	34.8840907335907	1.0552949714959	0.979702273740187
E	HadGEM2_ES_10km	rcp26	29.2120402985075	32.5716616915423	30.9298273631841	1.11886469300219	1.0636626841786
F	HadGEM2_ES_10km	rcp26	30.1311077319588	33.3762886597938	31.2244072164948	1.10881121834924	1.0377536939547
G	HadGEM2_ES_10km	rcp26	23.9050204301075	27.3134107526882	26.1772698924731	1.14430321969918	1.09758548089262
H	HadGEM2_ES_10km	rcp26	33.0706933333333	35.1840548717949	32.4330435897436	1.06320909858565	0.979858897070555
A	HadGEM2_ES_10km	rcp45	35.2023834146341	37.3291658536585	40.4936048780488	1.06094887307969	1.1509856540474
B	HadGEM2_ES_10km	rcp45	29.8923756097561	32.5428707317073	35.3524219512195	1.08879733188248	1.18267628748605
C	HadGEM2_ES_10km	rcp45	30.8700550387597	33.3218073643411	35.647807751938	1.08030993406624	1.15620715446599
D	HadGEM2_ES_10km	rcp45	34.97328996139	37.637505019305	40.1469976833977	1.07659228055692	1.14838716491525
E	HadGEM2_ES_10km	rcp45	29.2530179104478	32.0702059701493	33.5678691542289	1.10035224572745	1.15191892678178
F	HadGEM2_ES_10km	rcp45	30.131018556701	32.492193814433	34.375274742268	1.07934824556555	1.14212246168374
G	HadGEM2_ES_10km	rcp45	24.0220301075269	26.6957784946237	28.3514376344086	1.11330351012779	1.1818066912175
H	HadGEM2_ES_10km	rcp45	32.8188892307692	34.8109507692308	36.5178774358974	1.06152542696284	1.114463466121
A	HadGEM2_ES_10km	rcp85	33.6523707317073	40.5689117073171	64.1984453658537	1.20641893482224	1.90846050255785
