Time	EPN	SAB	BOJ	OTH	PET	ERS
0	5	5	5	5	5	5
5	5	7	7	7	7	7
10	7.5	9	9	9	9	9
15	10	17	17	17	17	17
20	17	27	27	27	27	27
25	25	41	41	41	41	41
30	35	56	56	56	56	56
35	44	70	70	70	70	70
40	53	84	84	84	84	84
45	61	99	99	99	99	99
50	70	115	115	115	115	115
55	76	125	125	125	125	125
60	85	133	133	133	133	133
65	92	135	135	135	135	135
70	98	139	139	139	139	139
75	100	139	139	139	139	139
80	102	139	139	139	139	139
85	104	139	139	139	139	139
90	106	139	139	139	139	139
95	106	139	139	139	139	139
100	106	139	139	139	139	139
105	106	139	139	139	139	139
110	106	139	139	139	139	139
115	106	139	139	139	139	139
120	106	139	139	139	139	139

