age	matu	vol.max	vol
0	M50	V250	0
5	M50	V250	5
10	M50	V250	10
15	M50	V250	25
20	M50	V250	40
25	M50	V250	55
30	M50	V250	70
35	M50	V250	98
40	M50	V250	125
45	M50	V250	153
50	M50	V250	180
55	M50	V250	198
60	M50	V250	212
65	M50	V250	224
70	M50	V250	235
75	M50	V250	243
80	M50	V250	250
85	M50	V250	245
90	M50	V250	235
95	M50	V250	223
100	M50	V250	210
105	M50	V250	205
110	M50	V250	200
115	M50	V250	198
120	M50	V250	195
125	M50	V250	193
130	M50	V250	190
135	M50	V250	188
140	M50	V250	185
145	M50	V250	183
150	M50	V250	180
0	M70	V250	0
5	M70	V250	4
10	M70	V250	7
15	M70	V250	16
20	M70	V250	26
25	M70	V250	35
30	M70	V250	44
35	M70	V250	58
40	M70	V250	72
45	M70	V250	94
50	M70	V250	115
55	M70	V250	139
60	M70	V250	163
65	M70	V250	186
70	M70	V250	210
75	M70	V250	224
80	M70	V250	237
85	M70	V250	244
90	M70	V250	250
95	M70	V250	246
100	M70	V250	237
105	M70	V250	229
110	M70	V250	220
115	M70	V250	213
120	M70	V250	205
125	M70	V250	198
130	M70	V250	190
135	M70	V250	188
140	M70	V250	185
145	M70	V250	183
150	M70	V250	180
0	M90	V250	0
5	M90	V250	4
10	M90	V250	7
15	M90	V250	13
20	M90	V250	19
25	M90	V250	24
30	M90	V250	30
35	M90	V250	43
40	M90	V250	55
45	M90	V250	68
50	M90	V250	80
55	M90	V250	100
60	M90	V250	120
65	M90	V250	140
70	M90	V250	160
75	M90	V250	180
80	M90	V250	200
85	M90	V250	213
90	M90	V250	225
95	M90	V250	232
100	M90	V250	239
105	M90	V250	245
110	M90	V250	250
115	M90	V250	246
120	M90	V250	236
125	M90	V250	226
130	M90	V250	215
135	M90	V250	205
140	M90	V250	195
145	M90	V250	188
150	M90	V250	180
0	M50	V150	0
5	M50	V150	3
10	M50	V150	6
15	M50	V150	15
20	M50	V150	24
25	M50	V150	33
30	M50	V150	42
35	M50	V150	59
40	M50	V150	75
45	M50	V150	92
50	M50	V150	108
55	M50	V150	119
60	M50	V150	127
65	M50	V150	134
70	M50	V150	141
75	M50	V150	146
80	M50	V150	150
85	M50	V150	147
90	M50	V150	141
95	M50	V150	134
100	M50	V150	126
105	M50	V150	123
110	M50	V150	120
115	M50	V150	119
120	M50	V150	117
125	M50	V150	116
130	M50	V150	114
135	M50	V150	113
140	M50	V150	111
145	M50	V150	110
150	M50	V150	108
0	M70	V150	0
5	M70	V150	2
10	M70	V150	4
15	M70	V150	10
20	M70	V150	15
25	M70	V150	21
30	M70	V150	26
35	M70	V150	35
40	M70	V150	43
45	M70	V150	56
50	M70	V150	69
55	M70	V150	83
60	M70	V150	98
65	M70	V150	112
70	M70	V150	126
75	M70	V150	134
80	M70	V150	142
85	M70	V150	146
90	M70	V150	150
95	M70	V150	148
100	M70	V150	142
105	M70	V150	137
110	M70	V150	132
115	M70	V150	128
120	M70	V150	123
125	M70	V150	119
130	M70	V150	114
135	M70	V150	113
140	M70	V150	111
145	M70	V150	110
150	M70	V150	108
0	M90	V150	0
5	M90	V150	2
10	M90	V150	4
15	M90	V150	8
20	M90	V150	11
25	M90	V150	15
30	M90	V150	18
35	M90	V150	26
40	M90	V150	33
45	M90	V150	41
50	M90	V150	48
55	M90	V150	60
60	M90	V150	72
65	M90	V150	84
70	M90	V150	96
75	M90	V150	108
80	M90	V150	120
85	M90	V150	128
90	M90	V150	135
95	M90	V150	139
100	M90	V150	143
105	M90	V150	147
110	M90	V150	150
115	M90	V150	148
120	M90	V150	142
125	M90	V150	135
130	M90	V150	129
135	M90	V150	123
140	M90	V150	117
145	M90	V150	113
150	M90	V150	108
0	M50	V90	0
5	M50	V90	2
10	M50	V90	4
15	M50	V90	9
20	M50	V90	14
25	M50	V90	19
30	M50	V90	25
35	M50	V90	34
40	M50	V90	44
45	M50	V90	53
50	M50	V90	63
55	M50	V90	69
60	M50	V90	74
65	M50	V90	78
70	M50	V90	82
75	M50	V90	85
80	M50	V90	88
85	M50	V90	86
90	M50	V90	82
95	M50	V90	78
100	M50	V90	74
105	M50	V90	72
110	M50	V90	70
115	M50	V90	69
120	M50	V90	68
125	M50	V90	67
130	M50	V90	67
135	M50	V90	66
140	M50	V90	65
145	M50	V90	64
150	M50	V90	63
0	M70	V90	0
5	M70	V90	1
10	M70	V90	2
15	M70	V90	6
20	M70	V90	9
25	M70	V90	12
30	M70	V90	15
35	M70	V90	20
40	M70	V90	25
45	M70	V90	33
50	M70	V90	40
55	M70	V90	49
60	M70	V90	57
65	M70	V90	65
70	M70	V90	74
75	M70	V90	78
80	M70	V90	83
85	M70	V90	85
90	M70	V90	88
95	M70	V90	86
100	M70	V90	83
105	M70	V90	80
110	M70	V90	77
115	M70	V90	74
120	M70	V90	72
125	M70	V90	69
130	M70	V90	67
