SppGrp	PotSpp	ptrans
SAB 	SAB 	80
SAB 	EPN	6
SAB 	PET	1
SAB 	ERS	6
SAB	BOJ	6
SAB	OthCB	0
SAB	OthDB	1
SAB	OthCT	0
SAB	OthDT	0
SAB 	NonFor	0
EPN	SAB 	15
EPN	EPN	80
EPN	PET	1
EPN	ERS	1
EPN	BOJ	1
EPN	OthCB	1
EPN	OthDB	1
EPN	OthCT	0
EPN	OthDT	0
EPN	NonFor	0
PET	SAB 	20
PET	EPN	35
PET	PET	10
PET	ERS	10
PET	BOJ	10
PET	OthCB	5
PET	OthDB	5
PET	OthCT	0
PET	OthDT	5
PET	NonFor	0
ERS	SAB 	1
ERS	EPN	1
ERS	PET	8
ERS	ERS	80
ERS	BOJ	5
ERS	OthCB	0
ERS	OthDB	0
ERS	OthCT	0
ERS	OthDT	5
ERS	NonFor	0
BOJ	SAB 	11
BOJ	EPN	1
BOJ	PET	8
BOJ	ERS	18
BOJ	BOJ	50
BOJ	OthCB	1
BOJ	OthDB	5
BOJ	OthCT	1
BOJ	OthDT	5
BOJ	NonFor	0
OthCB	SAB 	8
OthCB	EPN	8
OthCB	PET	1
OthCB	ERS	1
OthCB	BOJ	1
OthCB	OthCB	80
OthCB	OthDB	1
OthCB	OthCT	0
OthCB	OthDT	0
OthCB	NonFor	0
OthDB	SAB 	11
OthDB	EPN	1
OthDB	PET	8
OthDB	ERS	18
OthDB	BOJ	5
OthDB	OthCB	1
OthDB	OthDB	50
OthDB	OthCT	1
OthDB	OthDT	5
OthDB	NonFor	0
OthCT	SAB 	0
OthCT	EPN	6
OthCT	PET	1
OthCT	ERS	6
OthCT	BOJ	6
OthCT	OthCB	0
OthCT	OthDB	1
OthCT	OthCT	80
OthCT	OthDT	0
OthCT	NonFor	0
OthDT	SAB 	1
OthDT	EPN	1
OthDT	PET	8
OthDT	ERS	15
OthDT	BOJ	5
OthDT	OthCB	0
OthDT	OthDB	0
OthDT	OthCT	0
OthDT	OthDT	70
OthDT	NonFor	0
NonFor	SAB 	0
NonFor	EPN	0
NonFor	PET	0
NonFor	ERS	0
NonFor	BOJ	0
NonFor	OthCB	0
NonFor	OthDB	0
NonFor	OthCT	0
NonFor	OthDT	0
NonFor	NonFor	100
