SppGrp	PotSpp	ptrans
SAB	SAB	30
SAB	EPN	35
SAB	PET	20
SAB	ERS	0
SAB	BOJ	5
SAB	OthCB	5
SAB 	OthDB	5
SAB 	OthCT	0
SAB 	OthDT	0
SAB	NonFor	0
EPN	SAB	10
EPN	EPN	80
EPN	PET	5
EPN	ERS	0
EPN	BOJ	1
EPN	OthCB	2
EPN	OthDB	2
EPN	OthCT	0
EPN	OthDT	0
EPN	NonFor	0
PET	SAB	1
PET	EPN	25
PET	PET	66
PET	ERS	1
PET	BOJ	1
PET	OthCB	3
PET	OthDB	3
PET	OthCT	0
PET	OthDT	0
PET	NonFor	0
ERS	SAB	0
ERS	EPN	0
ERS	PET	55
ERS	ERS	15
ERS	BOJ	10
ERS	OthCB	0
ERS	OthDB	0
ERS	OthCT	10
ERS	OthDT	10
ERS	NonFor	0
BOJ	SAB	0
BOJ	EPN	0
BOJ	PET	60
BOJ	ERS	10
BOJ	BOJ	10
BOJ	OthCB	0
BOJ	OthDB	10
BOJ	OthCT	0
BOJ	OthDT	10
BOJ	NonFor	0
OthCB	SAB	6
OthCB	EPN	6
OthCB	PET	5
OthCB	ERS	0
OthCB	BOJ	1
OthCB	OthCB	80
OthCB	OthDB	2
OthCB	OthCT	0
OthCB	OthDT	0
OthCB	NonFor	0
OthDB	SAB	0
OthDB	EPN	0
OthDB	PET	60
OthDB	ERS	10
OthDB	BOJ	10
OthDB	OthCB	0
OthDB	OthDB	10
OthDB	OthCT	0
OthDB	OthDT	10
OthDB	NonFor	0
OthCT	SAB	5
OthCT	EPN	20
OthCT	PET	20
OthCT	ERS	0
OthCT	BOJ	5
OthCT	OthCB	5
OthCT	OthDB	5
OthCT	OthCT	40
OthCT	OthDT	0
OthCT	NonFor	0
OthDT	SAB	0
OthDT	EPN	0
OthDT	PET	10
OthDT	ERS	15
OthDT	BOJ	10
OthDT	OthCB	0
OthDT	OthDB	0
OthDT	OthCT	10
OthDT	OthDT	55
OthDT	NonFor	0
NonFor	SAB	0
NonFor	EPN	0
NonFor	PET	0
NonFor	ERS	0
NonFor	BOJ	0
NonFor	OthCB	0
NonFor	OthDB	0
NonFor	OthCT	0
NonFor	OthDT	0
NonFor	NonFor	100
