SppGrp	PotSpp	ptrans
SAB 	SAB 	70
SAB 	EPN	15
SAB 	PET	5
SAB 	ERS	1
SAB	BOJ	15
SAB 	other	1
SAB 	NonFor	0
EPN	SAB 	20
EPN	EPN	60
EPN	PET	20
EPN	ERS	1
EPN	BOJ	1
EPN	other	1
EPN	NonFor	0
PET	SAB 	15
PET	EPN	15
PET	PET	40
PET	ERS	10
PET	BOJ	12
PET	other	20
PET	NonFor	0
ERS	SAB 	1
ERS	EPN	1
ERS	PET	1
ERS	ERS	90
ERS	BOJ	5
ERS	other	5
ERS	NonFor	0
BOJ	SAB 	20
BOJ	EPN	1
BOJ	PET	10
BOJ	ERS	25
BOJ	BOJ	55
BOJ	other	1
BOJ	NonFor	0
other	SAB 	10
other	EPN	10
other	PET	10
other	ERS	10
other	BOJ	5
other	other	55
other	NonFor	0
NonFor	SAB 	0
NonFor	EPN	0
NonFor	PET	0
NonFor	ERS	0
NonFor	BOJ	0
NonFor	other	0
NonFor	NonFor	100
