SppGrp	PotSpp	ptrans
SAB	SAB	30
SAB	EPN	35
SAB	PET	20
SAB	ERS	0
SAB	BOJ	1
SAB	other	10
SAB	NonFor	0
EPN	SAB	10
EPN	EPN	85
EPN	PET	5
EPN	ERS	0
EPN	BOJ	1
EPN	other	5
EPN	NonFor	0
PET	SAB	1
PET	EPN	25
PET	PET	70
PET	ERS	1
PET	BOJ	1
PET	other	5
PET	NonFor	0
ERS	SAB	0
ERS	EPN	0
ERS	PET	60
ERS	ERS	20
ERS	BOJ	10
ERS	other	25
ERS	NonFor	0
BOJ	SAB	0
BOJ	EPN	0
BOJ	PET	75
BOJ	ERS	20
BOJ	BOJ	20
BOJ	other	25
BOJ	NonFor	0
other	SAB	5
other	EPN	20
other	PET	15
other	ERS	10
other	BOJ	5
other	other	35
other	NonFor	0
NonFor	SAB	0
NonFor	EPN	0
NonFor	PET	0
NonFor	ERS	0
NonFor	BOJ	0
NonFor	other	0
NonFor	NonFor	100
