run	time	domain	spp	0-20	20-40	40-60	60-80	80-100	>100	Tot
1	0	3	BOJ	388	128	84	1284	68	3876	5828
1	0	3	EPN	260	224	240	472	124	140	1460
1	0	3	ERS	1684	1384	840	9168	264	10448	23788
1	0	3	NonFor	5852	1440	0	0	0	0	7292
1	0	3	other	3840	3440	3280	8772	1216	4212	24760
1	0	3	PET	1472	2000	1652	3720	420	408	9672
1	0	3	SAB	984	1992	2332	2872	176	584	8940
1	0	2	BOJ	940	308	68	1596	184	5620	8716
1	0	2	EPN	11608	10776	7936	10240	4508	8884	53952
1	0	2	ERS	648	240	168	1888	52	2976	5972
1	0	2	NonFor	14092	3744	0	0	0	4	17840
1	0	2	other	12960	11032	9040	15688	3744	6456	58920
1	0	2	PET	4736	4956	5892	8020	1372	596	25572
1	0	2	SAB	7536	8652	6736	10636	2220	5228	41008
1	0	1	BOJ	0	0	0	0	0	0	0
1	0	1	EPN	27944	15768	4132	13344	10300	56664	128152
1	0	1	ERS	0	0	0	0	0	0	0
1	0	1	NonFor	32628	9724	0	0	44	88	42484
1	0	1	other	5964	2632	1016	2316	1832	1276	15036
1	0	1	PET	1040	976	272	524	724	156	3692
1	0	1	SAB	3836	3328	840	1392	904	9324	19624
1	5	3	BOJ	412	176	168	996	376	3420	5548
1	5	3	EPN	196	248	244	352	188	168	1396
1	5	3	ERS	1632	1516	1080	7116	2468	10412	24224
1	5	3	NonFor	4320	2972	0	0	0	0	7292
1	5	3	other	3868	3736	3196	6620	2836	4212	24468
1	5	3	PET	1996	1912	1704	2628	1196	604	10040
1	5	3	SAB	980	1668	2348	2368	804	604	8772
1	5	2	BOJ	1092	512	480	1240	600	5100	9024
1	5	2	EPN	10152	11088	8340	8148	5616	8636	51980
1	5	2	ERS	772	348	408	1516	532	3096	6672
1	5	2	NonFor	10568	7236	32	0	0	4	17840
1	5	2	other	11920	11824	9420	12660	6032	6560	58416
1	5	2	PET	7892	4868	5748	5732	2720	836	27796
1	5	2	SAB	6968	8624	7212	8464	3852	5132	40252
1	5	1	BOJ	4	0	4	0	4	0	12
1	5	1	EPN	25252	20044	5464	8992	10380	53440	123572
1	5	1	ERS	0	0	0	0	0	0	0
1	5	1	NonFor	24956	17172	224	0	36	96	42484
1	5	1	other	4968	3580	1284	1888	1764	1648	15132
1	5	1	PET	4160	984	448	368	648	212	6820
1	5	1	SAB	3848	3816	1392	1180	1112	9620	20968
1	10	3	BOJ	380	232	212	720	652	3364	5560
1	10	3	EPN	144	288	220	252	240	180	1324
1	10	3	ERS	1528	1620	1376	4904	4820	10448	24696
1	10	3	NonFor	2880	4412	0	0	0	0	7292
1	10	3	other	4048	3884	3240	4796	4204	4032	24204
1	10	3	PET	2560	1764	1856	1700	1716	572	10168
1	10	3	SAB	900	1440	2312	1972	1320	552	8496
1	10	2	BOJ	1232	664	888	848	1144	5160	9936
1	10	2	EPN	10020	11032	8428	6140	5488	7840	48948
1	10	2	ERS	1044	464	736	1024	1108	3132	7508
1	10	2	NonFor	7252	10404	180	0	0	4	17840
1	10	2	other	11396	12404	9724	9992	7924	6340	57780
1	10	2	PET	12192	4616	5208	3876	3432	888	30212
1	10	2	SAB	6568	7956	8288	6792	5128	5024	39756
1	10	1	BOJ	4	0	8	0	8	0	20
1	10	1	EPN	23108	22748	7508	6108	9392	49824	118688
1	10	1	ERS	0	0	0	0	0	0	0
1	10	1	NonFor	17192	24184	976	0	24	108	42484
1	10	1	other	4536	4376	1540	1416	1712	1876	15456
1	10	1	PET	8156	928	548	336	580	240	10788
1	10	1	SAB	3864	3972	1572	1368	1224	9552	21552
1	15	3	BOJ	336	288	236	504	928	3372	5664
1	15	3	EPN	116	284	224	192	256	176	1248
1	15	3	ERS	1476	1640	1472	3020	7012	10500	25120
1	15	3	NonFor	1424	5348	520	0	0	0	7292
1	15	3	other	3908	3892	3424	3420	5204	3968	23816
1	15	3	PET	2976	1552	2008	1060	2124	616	10336
1	15	3	SAB	908	1200	2212	1824	1520	600	8264
1	15	2	BOJ	1336	820	948	820	1480	5244	10648
1	15	2	EPN	8572	10704	9028	5600	5460	7552	46916
1	15	2	ERS	1168	588	764	860	1508	3168	8056
1	15	2	NonFor	4140	12288	1408	0	0	4	17840
1	15	2	other	10660	12616	10228	8056	9072	6364	56996
1	15	2	PET	15224	4536	5000	2472	4028	916	32176
1	15	2	SAB	5820	7632	8592	6220	5952	5132	39348
1	15	1	BOJ	16	0	0	8	4	4	32
1	15	1	EPN	21720	24124	10300	4080	8772	45976	114972
1	15	1	ERS	0	0	0	0	0	0	0
1	15	1	NonFor	9860	28504	3988	0	8	124	42484
1	15	1	other	3924	5004	1912	1112	1700	2008	15660
1	15	1	PET	10976	864	656	244	456	308	13504
1	15	1	SAB	4044	3756	2276	1340	1224	9696	22336
1	20	3	BOJ	268	368	224	192	1156	3324	5532
1	20	3	EPN	68	260	224	196	280	180	1208
