run	time	FRZone	spp	Area
1	0	ZA	BOJ	0
1	0	ZB	BOJ	0.044
1	0	ZC	BOJ	0.051
1	0	ZD	BOJ	0.031
1	0	ZA	EPN	0.718
1	0	ZB	EPN	0.432
1	0	ZC	EPN	0.275
1	0	ZD	EPN	0.025
1	0	ZA	ERS	0
1	0	ZB	ERS	0.02
1	0	ZC	ERS	0.103
1	0	ZD	ERS	0.326
1	0	ZA	other	0.161
1	0	ZB	other	0.253
1	0	ZC	other	0.208
1	0	ZD	other	0.357
1	0	ZA	PET	0.059
1	0	ZB	PET	0.105
1	0	ZC	PET	0.088
1	0	ZD	PET	0.12
1	0	ZA	SAB	0.062
1	0	ZB	SAB	0.146
1	0	ZC	SAB	0.276
1	0	ZD	SAB	0.141
1	5	ZA	BOJ	0
1	5	ZB	BOJ	0.045
1	5	ZC	BOJ	0.051
1	5	ZD	BOJ	0.03
1	5	ZA	EPN	0.691
1	5	ZB	EPN	0.415
1	5	ZC	EPN	0.268
1	5	ZD	EPN	0.024
1	5	ZA	ERS	0
1	5	ZB	ERS	0.024
1	5	ZC	ERS	0.106
1	5	ZD	ERS	0.332
1	5	ZA	other	0.161
1	5	ZB	other	0.25
1	5	ZC	other	0.208
1	5	ZD	other	0.352
1	5	ZA	PET	0.077
1	5	ZB	PET	0.119
1	5	ZC	PET	0.097
1	5	ZD	PET	0.125
1	5	ZA	SAB	0.071
1	5	ZB	SAB	0.147
1	5	ZC	SAB	0.271
1	5	ZD	SAB	0.137
1	10	ZA	BOJ	0.001
1	10	ZB	BOJ	0.049
1	10	ZC	BOJ	0.053
1	10	ZD	BOJ	0.031
1	10	ZA	EPN	0.662
1	10	ZB	EPN	0.392
1	10	ZC	EPN	0.26
1	10	ZD	EPN	0.023
1	10	ZA	ERS	0
1	10	ZB	ERS	0.027
1	10	ZC	ERS	0.11
1	10	ZD	ERS	0.337
1	10	ZA	other	0.163
1	10	ZB	other	0.248
1	10	ZC	other	0.205
1	10	ZD	other	0.351
1	10	ZA	PET	0.098
1	10	ZB	PET	0.138
1	10	ZC	PET	0.106
1	10	ZD	PET	0.127
1	10	ZA	SAB	0.076
1	10	ZB	SAB	0.147
1	10	ZC	SAB	0.266
1	10	ZD	SAB	0.132
1	15	ZA	BOJ	0.001
1	15	ZB	BOJ	0.052
1	15	ZC	BOJ	0.055
1	15	ZD	BOJ	0.031
1	15	ZA	EPN	0.641
1	15	ZB	EPN	0.376
1	15	ZC	EPN	0.252
1	15	ZD	EPN	0.022
1	15	ZA	ERS	0
1	15	ZB	ERS	0.029
1	15	ZC	ERS	0.113
1	15	ZD	ERS	0.344
1	15	ZA	other	0.163
1	15	ZB	other	0.244
1	15	ZC	other	0.203
1	15	ZD	other	0.346
1	15	ZA	PET	0.114
1	15	ZB	PET	0.151
1	15	ZC	PET	0.112
1	15	ZD	PET	0.131
1	15	ZA	SAB	0.081
1	15	ZB	SAB	0.148
1	15	ZC	SAB	0.264
1	15	ZD	SAB	0.127
1	20	ZA	BOJ	0.002
1	20	ZB	BOJ	0.054
1	20	ZC	BOJ	0.056
1	20	ZD	BOJ	0.031
1	20	ZA	EPN	0.617
1	20	ZB	EPN	0.359
1	20	ZC	EPN	0.243
1	20	ZD	EPN	0.021
1	20	ZA	ERS	0
1	20	ZB	ERS	0.032
1	20	ZC	ERS	0.117
1	20	ZD	ERS	0.348
1	20	ZA	other	0.164
1	20	ZB	other	0.241
1	20	ZC	other	0.202
1	20	ZD	other	0.344
1	20	ZA	PET	0.133
1	20	ZB	PET	0.167
1	20	ZC	PET	0.123
1	20	ZD	PET	0.137
1	20	ZA	SAB	0.084
1	20	ZB	SAB	0.147
1	20	ZC	SAB	0.259
1	20	ZD	SAB	0.119
1	25	ZA	BOJ	0.002
1	25	ZB	BOJ	0.057
1	25	ZC	BOJ	0.057
1	25	ZD	BOJ	0.03
1	25	ZA	EPN	0.596
1	25	ZB	EPN	0.344
1	25	ZC	EPN	0.235
1	25	ZD	EPN	0.02
1	25	ZA	ERS	0
1	25	ZB	ERS	0.036
1	25	ZC	ERS	0.12
1	25	ZD	ERS	0.353
1	25	ZA	other	0.166
1	25	ZB	other	0.237
1	25	ZC	other	0.2
1	25	ZD	other	0.344
1	25	ZA	PET	0.147
1	25	ZB	PET	0.179
1	25	ZC	PET	0.134
1	25	ZD	PET	0.139
1	25	ZA	SAB	0.089
1	25	ZB	SAB	0.147
1	25	ZC	SAB	0.255
1	25	ZD	SAB	0.115
1	30	ZA	BOJ	0.002
1	30	ZB	BOJ	0.054
1	30	ZC	BOJ	0.053
1	30	ZD	BOJ	0.026
1	30	ZA	EPN	0.574
1	30	ZB	EPN	0.327
1	30	ZC	EPN	0.224
1	30	ZD	EPN	0.019
1	30	ZA	ERS	0
