run	time	UA	tot.inc	even.age	sup.mat	s.inc.burnt	s.inc.mat.burnt	s.inc.kill	s.inc.mat.kill	cc.area.unaff	cc.area.salvaged	harv.cc.EPN	harv.cc.BOJ	harv.cc.PET	harv.cc.SAB	harv.cc.ERS	harv.cc.other	reg.fail.ex	reg.fail.inc
1	5	11161	4968	4464	1216	0	0	0	0	296	0	32	0	28	180	0	56	0	0
1	5	11262	3304	3076	1020	108	72	0	0	172	44	40	0	64	84	0	28	8	16
1	5	11263	3152	2948	968	32	20	0	0	200	12	8	0	12	184	0	8	0	12
1	5	1171	3068	2212	780	0	0	0	0	96	0	4	0	28	20	4	40	0	0
1	5	121	4672	3608	1136	16	4	0	0	200	8	8	0	32	36	4	128	0	4
1	5	122	4868	3768	1592	4	0	0	0	204	4	12	0	32	48	4	108	0	0
1	5	1272	6204	5592	2188	348	176	0	0	272	68	8	0	8	260	0	64	0	128
1	5	141	2028	1232	660	0	0	0	0	64	0	0	0	16	4	0	44	0	0
1	5	151	4632	2200	1124	136	56	0	0	84	20	0	0	48	8	4	44	0	12
1	5	161	3376	2000	1040	0	0	0	0	104	0	4	0	4	12	8	76	0	0
1	5	171	3544	2972	1176	20	4	0	0	172	4	0	0	0	48	0	124	0	0
1	5	21	1560	1456	400	0	0	0	0	88	0	8	0	48	4	0	28	0	0
1	5	22	1752	1684	244	12	0	0	0	0	0	0	0	0	0	0	0	0	0
1	5	2371	11772	11020	5292	892	412	0	0	520	132	204	0	56	332	0	60	24	324
1	5	2471	14796	14032	7528	752	476	0	0	676	168	596	0	0	200	0	48	44	124
1	5	2571	24056	22816	9676	440	212	0	0	1164	220	1072	0	48	104	0	160	68	188
1	5	2651	1628	1556	876	0	0	0	0	88	0	68	0	0	4	0	16	0	0
1	5	2661	3880	3708	1316	32	8	0	0	124	8	124	0	0	4	0	4	0	12
1	5	2662	2120	2024	900	0	0	0	0	104	0	100	0	0	0	0	4	0	0
1	5	2663	1420	1340	648	0	0	0	0	92	0	68	0	0	0	0	24	0	0
1	5	2664	3740	3536	1436	0	0	0	0	156	0	144	0	0	4	0	8	0	0
1	5	2665	2960	2796	1392	368	228	0	0	104	28	128	0	0	0	0	4	0	56
1	5	2666	1896	1804	788	0	0	0	0	72	0	68	0	0	0	0	4	0	0
1	5	2751	9700	9264	4220	100	52	0	0	488	56	384	0	36	84	0	40	40	44
1	5	3153	1144	1080	180	0	0	0	0	48	0	12	0	0	24	0	12	0	0
1	5	3171	2248	1540	516	0	0	0	0	100	0	8	8	12	48	0	24	0	0
1	5	3351	3008	2712	880	0	0	0	0	172	0	56	0	52	36	0	28	0	0
1	5	3451	136	96	48	0	0	0	0	4	0	0	0	0	0	0	4	0	0
1	5	3551	1116	848	292	0	0	0	0	36	0	12	0	4	8	0	12	0	0
1	5	41	2252	1412	472	0	0	0	0	52	0	0	0	24	4	4	20	0	0
1	5	4151	4448	3108	1524	184	88	0	0	184	44	4	0	36	72	8	108	12	16
1	5	4251	8416	7388	2704	64	20	0	0	404	20	140	0	64	72	0	148	0	16
1	5	4351	9180	8720	3404	116	40	0	0	436	76	272	0	36	36	0	168	0	12
1	5	4352	5920	5164	3108	0	0	0	0	324	0	44	0	76	36	0	168	0	0
1	5	51	7244	4824	1492	8	0	0	0	168	0	0	0	12	52	0	104	0	4
1	5	5151	368	216	108	0	0	0	0	12	0	0	0	0	8	0	4	0	0
1	5	6151	548	188	164	4	0	0	0	12	0	0	0	0	4	0	8	0	0
1	5	6271	4304	2996	1256	52	16	0	0	208	20	4	4	72	44	0	104	4	16
1	5	6452	1300	344	240	20	8	0	0	20	4	0	0	8	8	0	8	0	0
1	5	6471	9564	5836	3016	52	28	0	0	316	28	92	4	48	48	4	148	0	0
1	5	71	5116	2928	1820	0	0	0	0	164	0	0	0	44	40	4	76	0	0
1	5	7151	2324	1072	676	0	0	0	0	56	0	0	0	8	0	0	48	0	0
1	5	7152	4744	2912	1700	96	48	0	0	136	32	16	16	32	12	4	88	0	12
1	5	7251	1164	316	240	0	0	0	0	20	0	0	0	12	0	0	8	0	0
1	5	7351	3604	1704	1104	8	0	0	0	96	0	0	0	40	4	0	52	0	0
1	5	7352	3188	2344	1616	0	0	0	0	164	0	36	4	4	12	0	108	0	0
1	5	7451	7512	6108	3400	0	0	0	0	364	0	32	4	68	36	0	224	0	0
1	5	81	1060	1016	388	48	8	0	0	52	12	4	0	28	4	0	28	0	8
1	5	8151	3016	1456	1192	0	0	0	0	96	0	0	4	8	0	0	84	0	0
1	5	8152	5624	4248	2920	4	4	0	0	268	4	8	4	36	8	0	212	0	0
1	5	82	4592	4332	1004	0	0	0	0	92	0	56	0	20	4	0	12	0	0
1	5	8251	4600	4340	1632	48	24	0	0	244	36	68	4	92	20	0	96	0	8
1	5	8351	8772	8012	3424	0	0	0	0	504	0	156	0	52	16	0	280	0	0
1	5	8451	6152	5856	2112	4	4	0	0	328	4	232	0	40	16	0	40	0	0
1	5	8462	2108	1996	692	0	0	0	0	100	0	76	0	4	4	0	16	0	0
1	5	8551	6340	6048	2356	76	44	0	0	232	56	252	0	16	0	0	20	0	8
1	5	8562	404	380	264	0	0	0	0	28	0	28	0	0	0	0	0	0	0
1	5	8651	3332	3120	804	52	12	0	0	100	8	76	0	20	4	0	8	0	16
1	5	8652	2692	2580	1044	104	32	0	0	76	20	64	0	24	0	0	8	0	36
1	5	8663	1840	1736	1232	0	0	0	0	100	0	100	0	0	0	0	0	0	0
1	5	8664	1764	1712	1140	0	0	0	0	96	0	88	0	8	0	0	0	0	0
1	5	8665	2340	2216	1256	0	0	0	0	128	0	108	0	0	4	0	16	0	0
1	5	8666	3300	3156	1468	684	344	0	0	124	32	152	0	0	0	0	4	4	224
1	5	8751	3780	3572	1296	144	68	0	0	144	36	140	0	12	8	0	20	0	36
1	5	8762	3296	3132	1200	76	40	0	0	88	24	100	0	0	0	0	12	0	12
1	5	8763	3064	2904	1036	0	0	0	0	104	0	72	0	16	0	0	16	0	0
1	5	8764	3816	3584	1632	64	36	0	0	120	28	140	0	0	0	0	8	0	24
1	5	91	2412	2232	1264	0	0	0	0	148	0	44	0	0	88	0	16	0	0
1	5	9351	15292	14468	7176	96	48	0	0	832	52	664	0	20	148	0	52	4	12
1	5	9352	7428	7088	4264	1240	540	0	0	296	76	356	0	0	16	0	0	8	448
1	5	9471	14744	14032	10220	32	32	0	0	896	28	792	0	4	104	0	24	0	0
1	5	9551	1568	1504	1256	108	96	0	0	80	20	68	0	0	28	0	4	4	12
1	5	9751	10512	9944	3212	56	16	0	0	500	16	368	0	28	72	0	48	4	28
1	10	11	7644	6036	2028	0	0	0	0	356	0	12	0	112	120	0	112	0	0
1	10	111	3212	2628	808	0	0	0	0	172	0	0	0	88	40	0	44	0	0
1	10	11161	4968	4364	1052	36	0	0	0	300	0	28	0	48	172	0	52	4	32
1	10	11262	3304	3032	884	0	0	0	0	212	0	56	0	36	64	0	56	0	0
1	10	11263	3152	2928	884	0	0	0	0	216	0	36	0	8	152	0	20	8	0
1	10	1171	3068	2224	740	68	24	0	0	80	16	0	0	4	40	4	48	0	12
1	10	121	4672	3560	1148	0	0	0	0	200	0	4	0	48	64	4	80	0	0
1	10	122	4868	3776	1524	12	0	0	0	204	4	36	4	52	48	0	64	0	4
1	10	1272	6204	5560	1968	136	120	0	0	260	64	8	0	20	224	0	72	0	4
1	10	141	2028	1224	624	0	0	0	0	64	0	0	0	16	8	0	40	0	0
1	10	151	4632	2184	1080	0	0	0	0	96	0	0	0	36	32	0	28	0	0
1	10	161	3376	1960	1004	4	0	0	0	100	4	0	0	4	4	0	92	0	0
1	10	171	3544	2912	1124	0	0	0	0	168	0	4	0	0	20	0	144	0	0
1	10	21	1560	1392	340	0	0	0	0	84	0	12	0	32	24	0	16	0	0
1	10	22	1752	1660	312	116	32	0	0	0	0	0	0	0	0	0	0	0	28
1	10	2371	11772	10984	4868	64	40	0	0	576	40	260	0	36	264	0	56	4	20
1	10	2471	14796	14152	6692	800	440	0	0	664	168	656	0	0	132	0	44	88	308
1	10	2571	24056	22892	8600	628	260	0	0	1112	280	1012	4	104	84	0	188	44	280
1	10	2651	1628	1504	872	0	0	0	0	84	0	56	0	0	4	0	24	0	0
1	10	2661	3880	3708	1280	176	108	0	0	112	28	132	0	0	4	0	4	0	64
1	10	2662	2120	1992	796	0	0	0	0	104	0	96	0	0	8	0	0	0	0
