run	time	zone	target.n.fires	n.fires	target.area	burnt.area	fire.cycle	ind.combust
1	5	ZA	13	13	3636	3636	185	0.51
1	5	ZB	14	14	2772	2776	325	0.46
1	5	ZD	5	5	72	72	3434	0.22
1	5	ZC	15	15	1748	1748	396	0.47
1	10	ZA	13	13	5660	5660	119	0.5
1	10	ZC	15	15	1104	1104	627	0.46
1	10	ZD	5	5	212	140	1766	0.23
1	10	ZB	14	14	8028	8028	112	0.45
1	15	ZB	14	14	7272	5620	160	0.43
1	15	ZD	5	5	92	92	2687	0.23
1	15	ZC	15	15	1176	1176	589	0.45
1	15	ZA	14	14	2740	2740	245	0.49
1	20	ZD	5	5	120	120	2060	0.22
1	20	ZC	15	15	1120	1124	616	0.45
1	20	ZA	14	14	6572	6572	102	0.49
1	20	ZB	14	14	4472	4472	202	0.43
1	25	ZB	14	14	1900	1900	475	0.42
1	25	ZA	14	14	4680	4460	151	0.49
1	25	ZC	16	16	2000	2000	346	0.45
1	25	ZD	6	6	100	92	2687	0.22
1	30	ZB	14	14	4124	4068	222	0.42
1	30	ZA	14	14	3164	3164	212	0.49
1	30	ZC	16	16	1528	1528	453	0.44
1	30	ZD	6	6	280	280	883	0.22
1	35	ZC	16	16	1424	1428	485	0.44
1	35	ZA	15	15	2268	2052	327	0.5
1	35	ZB	15	15	4132	3920	230	0.42
1	35	ZD	6	6	232	232	1066	0.22
1	40	ZD	6	6	204	204	1212	0.21
1	40	ZC	16	16	1828	1832	378	0.44
1	40	ZB	15	15	5920	5920	152	0.42
1	40	ZA	15	15	3228	3228	208	0.5
1	45	ZD	6	6	132	132	1873	0.21
1	45	ZB	15	15	3924	3924	230	0.41
1	45	ZC	17	17	1656	1656	418	0.43
1	45	ZA	16	16	5200	5200	129	0.5
1	50	ZA	16	16	7372	6000	112	0.49
1	50	ZD	6	6	148	148	1671	0.21
1	50	ZB	15	15	5648	5648	160	0.41
1	50	ZC	17	17	1340	1340	517	0.43
1	55	ZB	15	15	2872	2872	314	0.4
1	55	ZD	6	6	208	208	1189	0.2
1	55	ZA	16	16	2132	2132	315	0.48
1	55	ZC	17	17	1584	1584	437	0.42
1	60	ZC	17	17	1788	1788	387	0.41
1	60	ZB	15	15	2552	2552	353	0.4
1	60	ZA	16	16	6396	6396	105	0.48
1	60	ZD	6	6	184	184	1344	0.2
1	65	ZD	6	6	200	176	1405	0.19
1	65	ZA	16	16	4208	4208	160	0.47
1	65	ZB	15	15	5632	4724	191	0.39
1	65	ZC	17	17	740	748	926	0.4
1	70	ZA	16	16	7496	7440	90	0.47
1	70	ZC	17	17	1100	1028	674	0.4
1	70	ZD	6	6	100	100	2472	0.19
1	70	ZB	15	15	4032	3788	238	0.38
1	75	ZB	15	15	3476	3476	259	0.37
1	75	ZA	16	16	5932	5900	114	0.45
1	75	ZC	17	17	1036	1040	666	0.39
1	75	ZD	6	6	128	132	1873	0.18
1	80	ZB	15	15	3604	3136	288	0.37
1	80	ZD	6	6	88	92	2687	0.18
1	80	ZC	17	17	1096	1096	632	0.38
1	80	ZA	15	15	5660	5620	120	0.43
1	85	ZB	15	15	4912	4496	201	0.36
1	85	ZA	15	15	6236	6240	108	0.42
1	85	ZD	5	5	136	116	2131	0.17
1	85	ZC	17	17	2160	2160	321	0.37
1	90	ZC	16	16	1352	1352	512	0.36
1	90	ZB	15	15	4524	4524	199	0.34
1	90	ZA	15	15	5728	5728	117	0.41
1	90	ZD	5	5	128	128	1932	0.17
