run	time	zone	id.fire	target.area	burnt.area
1	5	ZA	1	1268	1268
1	5	ZA	2	1184	1184
1	5	ZA	3	148	148
1	5	ZA	4	96	96
1	5	ZA	5	144	144
1	5	ZA	6	120	120
1	5	ZA	7	104	104
1	5	ZA	8	84	84
1	5	ZA	9	124	124
1	5	ZA	10	40	40
1	5	ZA	11	184	184
1	5	ZA	12	112	112
1	5	ZA	13	28	28
1	5	ZB	14	64	64
1	5	ZB	15	0	4
1	5	ZB	16	120	120
1	5	ZB	17	104	104
1	5	ZB	18	176	176
1	5	ZB	19	156	156
1	5	ZB	20	8	8
1	5	ZB	21	112	112
1	5	ZB	22	1568	1568
1	5	ZB	23	64	64
1	5	ZB	24	68	68
1	5	ZB	25	88	88
1	5	ZB	26	68	68
1	5	ZB	27	176	176
1	5	ZD	28	8	8
1	5	ZD	29	4	4
1	5	ZD	30	24	24
1	5	ZD	31	32	32
1	5	ZD	32	4	4
1	5	ZC	33	384	384
1	5	ZC	34	128	128
1	5	ZC	35	144	144
1	5	ZC	36	96	96
1	5	ZC	37	60	60
1	5	ZC	38	88	88
1	5	ZC	39	32	32
1	5	ZC	40	80	80
1	5	ZC	41	96	96
1	5	ZC	42	16	16
1	5	ZC	43	40	40
1	5	ZC	44	80	80
1	5	ZC	45	168	168
1	5	ZC	46	200	200
1	5	ZC	47	136	136
1	10	ZA	1	1140	1140
1	10	ZA	2	116	116
1	10	ZA	3	48	48
1	10	ZA	4	60	60
1	10	ZA	5	108	108
1	10	ZA	6	44	44
1	10	ZA	7	112	112
1	10	ZA	8	256	256
1	10	ZA	9	1336	1336
1	10	ZA	10	212	212
1	10	ZA	11	1760	1760
1	10	ZA	12	292	292
1	10	ZA	13	176	176
1	10	ZC	14	184	184
1	10	ZC	15	44	44
1	10	ZC	16	76	76
1	10	ZC	17	176	176
1	10	ZC	18	72	72
1	10	ZC	19	72	72
1	10	ZC	20	136	136
1	10	ZC	21	88	88
1	10	ZC	22	12	12
1	10	ZC	23	20	20
1	10	ZC	24	16	16
1	10	ZC	25	72	72
1	10	ZC	26	56	56
1	10	ZC	27	60	60
1	10	ZC	28	20	20
1	10	ZD	29	0	4
1	10	ZD	30	92	92
1	10	ZD	31	28	28
1	10	ZD	32	12	12
1	10	ZD	33	80	4
1	10	ZB	34	20	20
1	10	ZB	35	792	792
