ref.harv.level	ref.harv.level.cp
11	372	144
111	172	40
11161	296	56
11262	216	28
11263	212	28
1171	96	40
121	208	48
122	204	60
1272	340	76
141	64	12
151	104	48
161	104	40
171	172	48
21	88	12
22	0	8
2371	652	76
2471	844	80
2571	1384	144
2651	88	8
2661	132	12
2662	104	8
2663	92	8
2664	156	16
2665	132	12
2666	72	4
2751	544	68
3153	48	4
3171	100	24
3351	172	32
3451	4	0
3551	36	8
41	52	24
4151	228	56
4251	424	104
4351	512	64
4352	324	92
51	168	80
5151	12	8
6151	12	4
6271	228	48
6452	24	8
6471	344	96
71	164	64
7151	56	24
7152	168	72
7251	20	8
7351	96	24
7352	164	44
7451	364	128
81	64	8
8151	96	40
8152	268	88
82	92	24
8251	280	40
8351	504	84
8451	328	40
8462	100	8
8551	288	32
8562	28	4
8651	108	16
8652	96	16
8663	100	12
8664	96	8
8665	128	16
8666	156	20
8751	180	20
8762	112	8
8763	104	12
8764	148	24
91	148	16
9351	884	92
9352	372	36
9471	924	116
9551	100	12
9751	516	56
