run	time	UA	uneven.age	sup.mat	s.rec.pc	harv.pc.EPN	harv.pc.BOJ	harv.pc.PET	harv.pc.SAB	harv.pc.ERS	harv.pc.other
1	5	11161	480	136	56	4	0	8	32	0	12
1	5	11262	192	92	28	0	0	4	16	0	8
1	5	11263	204	96	28	0	0	0	20	0	8
1	5	1171	884	80	40	4	0	12	8	0	16
1	5	121	1060	92	48	4	0	8	12	0	24
1	5	122	1100	120	60	4	0	4	12	0	40
1	5	1272	612	200	76	0	0	4	44	0	28
1	5	141	788	24	12	0	0	0	4	0	8
1	5	151	2352	92	48	0	0	16	4	0	28
1	5	161	1364	80	40	0	0	4	0	0	36
1	5	171	584	100	48	0	0	0	8	0	40
1	5	21	96	52	12	4	0	8	0	0	0
1	5	22	96	48	8	0	0	0	4	0	4
1	5	2371	640	444	76	20	24	0	32	0	0
1	5	2471	688	360	80	48	0	0	20	0	12
1	5	2571	1244	700	144	88	4	16	28	0	8
1	5	2651	60	44	8	8	0	0	0	0	0
1	5	2661	200	84	12	8	0	0	0	0	4
1	5	2662	132	60	8	8	0	0	0	0	0
1	5	2663	76	52	8	8	0	0	0	0	0
1	5	2664	172	84	16	12	0	0	0	0	4
1	5	2665	152	80	12	4	0	0	0	0	8
1	5	2666	72	20	4	4	0	0	0	0	0
1	5	2751	532	320	68	64	0	0	0	0	4
1	5	3153	40	24	4	0	0	0	4	0	0
1	5	3171	644	44	24	8	0	0	4	0	12
1	5	3351	240	100	32	12	0	16	4	0	0
1	5	3451	36	0	0	0	0	0	0	0	0
1	5	3551	272	20	8	0	0	4	0	0	4
1	5	41	856	52	24	0	0	0	12	0	12
1	5	4151	1364	112	56	8	0	12	12	0	24
1	5	4251	1080	208	104	32	0	12	12	0	48
1	5	4351	520	356	64	24	0	8	4	0	28
1	5	4352	728	224	92	8	0	28	4	0	52
1	5	51	2448	156	80	0	0	16	32	0	32
1	5	5151	160	12	8	0	0	0	4	0	4
1	5	6151	368	8	4	0	0	0	0	0	4
1	5	6271	1308	100	48	0	0	20	8	0	20
1	5	6452	952	16	8	0	0	0	8	0	0
1	5	6471	3684	192	96	8	0	24	12	0	52
1	5	71	2204	132	64	0	0	24	20	0	20
1	5	7151	1276	52	24	0	0	4	4	0	16
1	5	7152	1880	140	72	8	0	24	12	0	28
1	5	7251	872	16	8	0	0	0	4	0	4
1	5	7351	1904	48	24	0	0	12	4	0	8
1	5	7352	824	88	44	4	0	4	0	0	36
1	5	7451	1392	260	128	12	0	32	4	0	80
1	5	81	48	24	8	0	0	0	4	0	4
1	5	8151	1640	76	40	0	0	4	0	0	36
1	5	8152	1412	180	88	4	0	20	8	0	56
1	5	82	224	120	24	8	0	12	0	0	4
1	5	8251	292	148	40	4	0	4	16	0	16
1	5	8351	652	256	84	52	0	4	0	0	28
1	5	8451	340	236	40	24	0	4	4	0	8
1	5	8462	88	52	8	8	0	0	0	0	0
1	5	8551	276	164	32	28	0	0	0	0	4
1	5	8562	24	20	4	4	0	0	0	0	0
1	5	8651	156	84	16	12	0	4	0	0	0
1	5	8652	108	80	16	12	0	4	0	0	0
1	5	8663	92	68	12	8	0	0	0	0	4
1	5	8664	68	56	8	8	0	0	0	0	0
1	5	8665	108	100	16	16	0	0	0	0	0
1	5	8666	172	124	20	16	0	0	0	0	4
1	5	8751	164	108	20	20	0	0	0	0	0
1	5	8762	100	52	8	8	0	0	0	0	0
1	5	8763	176	72	12	12	0	0	0	0	0
1	5	8764	224	116	24	20	0	0	0	0	4
1	5	91	132	76	16	0	0	4	4	0	8
1	5	9351	824	496	92	72	0	0	20	0	0
1	5	9352	340	248	36	36	0	0	0	0	0
1	5	9471	856	724	116	80	0	0	36	0	0
1	5	9551	76	64	12	4	0	0	8	0	0
1	5	9751	560	288	56	16	0	4	24	0	12
1	10	11	1472	244	168	4	40	36	32	28	28
1	10	111	584	108	64	0	16	12	8	12	16
1	10	11161	496	96	56	8	4	4	36	4	0
1	10	11262	284	108	36	12	4	8	0	0	12
1	10	11263	272	108	32	4	4	4	20	0	0
1	10	1171	840	64	64	8	8	8	16	8	16
1	10	121	1132	140	124	4	4	8	24	24	60
1	10	122	1124	152	116	4	12	12	24	4	60
1	10	1272	660	224	88	0	4	0	56	8	20
1	10	141	816	44	44	0	0	12	4	8	20
1	10	151	2332	64	64	0	0	16	12	12	24
1	10	161	1404	112	112	0	0	16	0	12	84
1	10	171	612	136	72	0	0	4	8	12	48
1	10	21	140	60	20	0	8	8	0	0	4
1	10	22	112	72	16	8	4	4	0	0	0
1	10	2371	800	468	100	32	16	4	36	4	8
1	10	2471	792	376	88	76	0	0	8	0	4
1	10	2571	1196	668	148	116	4	0	24	0	4
1	10	2651	92	68	12	8	0	0	0	0	4
1	10	2661	220	84	16	16	0	0	0	0	0
1	10	2662	116	44	8	8	0	0	0	0	0
1	10	2663	96	48	8	4	0	0	0	0	4
1	10	2664	192	100	16	8	0	0	0	0	8
1	10	2665	172	92	16	16	0	0	0	0	0
1	10	2666	88	20	4	4	0	0	0	0	0
1	10	2751	508	316	72	48	0	4	20	0	0
1	10	3153	52	24	4	0	0	0	4	0	0
1	10	3171	632	40	40	4	4	0	20	0	12
