run	time	zone	brulcl1	brulcl2	brulcl3	zon.cl1	zon.cl12	zon.cl3
1	5	ZA	0.14	0.33	0.53	0.3	0.35	0.36
1	5	ZB	0.16	0.25	0.59	0.4	0.27	0.32
1	5	ZD	0.78	0.17	0.06	0.75	0.16	0.09
1	5	ZC	0.22	0.27	0.51	0.44	0.2	0.36
1	10	ZA	0.2	0.37	0.43	0.3	0.36	0.34
1	10	ZC	0.3	0.16	0.54	0.44	0.21	0.35
1	10	ZD	0.6	0.17	0.23	0.75	0.16	0.09
1	10	ZB	0.12	0.38	0.49	0.41	0.29	0.3
1	15	ZB	0.31	0.3	0.4	0.41	0.31	0.28
1	15	ZD	0.3	0.17	0.52	0.75	0.15	0.09
1	15	ZC	0.25	0.31	0.44	0.45	0.21	0.34
1	15	ZA	0.1	0.48	0.42	0.3	0.37	0.33
1	20	ZD	0.37	0.27	0.37	0.76	0.15	0.09
1	20	ZC	0.35	0.26	0.4	0.45	0.21	0.34
1	20	ZA	0.12	0.42	0.46	0.3	0.37	0.33
1	20	ZB	0.19	0.42	0.39	0.41	0.32	0.27
1	25	ZB	0.27	0.41	0.31	0.41	0.32	0.27
1	25	ZA	0.14	0.42	0.44	0.3	0.38	0.33
1	25	ZC	0.31	0.26	0.43	0.45	0.21	0.33
1	25	ZD	0.83	0.04	0.13	0.76	0.15	0.09
1	30	ZB	0.37	0.31	0.32	0.41	0.32	0.27
1	30	ZA	0.17	0.48	0.35	0.3	0.37	0.33
1	30	ZC	0.42	0.21	0.37	0.45	0.22	0.33
1	30	ZD	0.54	0.21	0.24	0.76	0.15	0.09
1	35	ZC	0.27	0.29	0.44	0.45	0.22	0.32
1	35	ZA	0.09	0.47	0.45	0.3	0.36	0.34
1	35	ZB	0.26	0.38	0.37	0.41	0.33	0.26
1	35	ZD	0.43	0.29	0.28	0.76	0.15	0.09
1	40	ZD	0.78	0.1	0.12	0.77	0.15	0.08
1	40	ZC	0.26	0.29	0.45	0.46	0.23	0.32
1	40	ZB	0.27	0.42	0.31	0.42	0.33	0.26
1	40	ZA	0.14	0.36	0.5	0.3	0.35	0.35
1	45	ZD	0.55	0.21	0.24	0.77	0.15	0.08
1	45	ZB	0.3	0.38	0.31	0.42	0.33	0.25
1	45	ZC	0.24	0.34	0.42	0.46	0.23	0.31
1	45	ZA	0.14	0.25	0.61	0.31	0.34	0.35
1	50	ZA	0.13	0.38	0.48	0.31	0.36	0.33
1	50	ZD	0.32	0.43	0.24	0.78	0.15	0.07
1	50	ZB	0.16	0.41	0.43	0.42	0.34	0.24
1	50	ZC	0.22	0.3	0.47	0.46	0.24	0.3
1	55	ZB	0.23	0.45	0.33	0.42	0.34	0.24
1	55	ZD	0.56	0.29	0.15	0.78	0.15	0.07
1	55	ZA	0.12	0.32	0.57	0.31	0.37	0.32
1	55	ZC	0.22	0.27	0.51	0.47	0.25	0.29
1	60	ZC	0.34	0.41	0.26	0.47	0.25	0.27
1	60	ZB	0.35	0.35	0.3	0.42	0.35	0.23
1	60	ZA	0.21	0.38	0.41	0.31	0.38	0.31
1	60	ZD	0.54	0.24	0.22	0.79	0.15	0.06
1	65	ZD	0.61	0.11	0.27	0.79	0.15	0.06
1	65	ZA	0.17	0.43	0.4	0.31	0.39	0.3
1	65	ZB	0.21	0.41	0.39	0.43	0.35	0.22
1	65	ZC	0.19	0.18	0.63	0.48	0.26	0.26
1	70	ZA	0.13	0.39	0.48	0.32	0.39	0.29
1	70	ZC	0.34	0.3	0.37	0.48	0.26	0.25
1	70	ZD	0.68	0.16	0.16	0.8	0.15	0.05
1	70	ZB	0.25	0.44	0.31	0.43	0.36	0.21
1	75	ZB	0.12	0.55	0.33	0.44	0.37	0.19
1	75	ZA	0.16	0.41	0.43	0.33	0.41	0.27
1	75	ZC	0.37	0.34	0.29	0.49	0.26	0.24
1	75	ZD	0.91	0.09	NA	0.81	0.14	0.05
1	80	ZB	0.19	0.35	0.46	0.45	0.36	0.18
1	80	ZD	0.78	0.22	NA	0.82	0.14	0.04
1	80	ZC	0.29	0.19	0.52	0.5	0.26	0.24
1	80	ZA	0.19	0.52	0.29	0.34	0.42	0.24
1	85	ZB	0.35	0.27	0.38	0.46	0.36	0.17
1	85	ZA	0.17	0.52	0.31	0.35	0.42	0.23
1	85	ZD	0.79	0.14	0.07	0.83	0.13	0.04
1	85	ZC	0.18	0.29	0.53	0.51	0.26	0.23
1	90	ZC	0.22	0.29	0.49	0.53	0.25	0.22
1	90	ZB	0.36	0.4	0.24	0.48	0.36	0.16
1	90	ZA	0.18	0.39	0.43	0.36	0.42	0.22
1	90	ZD	0.59	0.28	0.12	0.84	0.12	0.04
