run	time	UA	SProd_ha	S_CC_ha_an	S_PC_ha_an	vol
1	5	11	764400	7440	2880	1167280
1	5	111	321200	3440	800	524240
1	5	11161	496800	5920	1120	829120
1	5	11262	330400	4320	560	600040
1	5	11263	315200	4240	560	603400
1	5	1171	306800	1920	800	307760
1	5	121	467200	4160	960	617720
1	5	122	486800	4080	1200	605080
1	5	1272	620400	6800	1520	1021800
1	5	141	202800	1280	240	193320
1	5	151	463200	2080	960	348920
1	5	161	337600	2080	800	336600
1	5	171	354400	3440	960	527680
1	5	21	156000	1760	240	248480
1	5	22	175200	0	160	8560
1	5	2371	1177200	13040	1520	1753680
1	5	2471	1479600	16880	1600	2008600
1	5	2571	2405600	27680	2880	3223600
1	5	2651	162800	1760	160	201920
1	5	2661	388000	2640	240	294800
1	5	2662	212000	2080	160	230640
1	5	2663	142000	1840	160	216000
1	5	2664	374000	3120	320	339480
1	5	2665	296000	2640	240	289040
1	5	2666	189600	1440	80	156000
1	5	2751	970000	10880	1360	1300800
1	5	3153	114400	960	80	130840
1	5	3171	224800	2000	480	286280
1	5	3351	300800	3440	640	470200
1	5	3451	13600	80	0	11120
1	5	3551	111600	720	160	100880
1	5	41	225200	1040	480	171960
1	5	4151	444800	4560	1120	692400
1	5	4251	841600	8480	2080	1179320
1	5	4351	918000	10240	1280	1285960
1	5	4352	592000	6480	1840	982000
1	5	51	724400	3360	1600	561440
1	5	5151	36800	240	160	44320
1	5	6151	54800	240	80	27800
1	5	6271	430400	4560	960	679880
1	5	6452	130000	480	160	64520
1	5	6471	956400	6880	1920	987480
1	5	71	511600	3280	1280	535880
1	5	7151	232400	1120	480	184120
1	5	7152	474400	3360	1440	535200
1	5	7251	116400	400	160	66720
1	5	7351	360400	1920	480	292760
1	5	7352	318800	3280	880	461720
1	5	7451	751200	7280	2560	1125760
1	5	81	106000	1280	160	183840
1	5	8151	301600	1920	800	310880
1	5	8152	562400	5360	1760	849400
1	5	82	459200	1840	480	241080
1	5	8251	460000	5600	800	749640
1	5	8351	877200	10080	1680	1366400
1	5	8451	615200	6560	800	793360
1	5	8462	210800	2000	160	233760
1	5	8551	634000	5760	640	642840
1	5	8562	40400	560	80	63600
1	5	8651	333200	2160	320	250360
1	5	8652	269200	1920	320	242600
1	5	8663	184000	2000	240	221280
1	5	8664	176400	1920	160	214400
1	5	8665	234000	2560	320	288000
1	5	8666	330000	3120	400	347720
1	5	8751	378000	3600	400	406080
1	5	8762	329600	2240	160	245920
1	5	8763	306400	2080	240	251760
1	5	8764	381600	2960	480	344200
1	5	91	241200	2960	320	401440
1	5	9351	1529200	17680	1840	2097920
1	5	9352	742800	7440	720	816480
1	5	9471	1474400	18480	2320	2155240
1	5	9551	156800	2000	240	248480
1	5	9751	1051200	10320	1120	1234440
1	10	11	764400	7120	3360	1153480
1	10	111	321200	3440	1280	538320
1	10	11161	496800	6000	1120	874120
1	10	11262	330400	4240	720	572880
1	10	11263	315200	4320	640	599120
1	10	1171	306800	1920	1280	341160
1	10	121	467200	4000	2480	670400
1	10	122	486800	4080	2320	654680
1	10	1272	620400	6480	1760	996800
1	10	141	202800	1280	880	232960
1	10	151	463200	1920	1280	353200
1	10	161	337600	2000	2240	410040
1	10	171	354400	3360	1440	549600
1	10	21	156000	1680	400	249080
1	10	22	175200	0	320	18040
1	10	2371	1177200	12320	2000	1638720
1	10	2471	1479600	16640	1760	1950920
1	10	2571	2405600	27840	2960	3248520
1	10	2651	162800	1680	240	207200
1	10	2661	388000	2800	320	317920
1	10	2662	212000	2080	160	234080
1	10	2663	142000	1840	160	214880
1	10	2664	374000	3120	320	359240
1	10	2665	296000	2160	320	245880
1	10	2666	189600	1440	80	157440
1	10	2751	970000	10800	1440	1294280
1	10	3153	114400	1120	80	150320
1	10	3171	224800	2160	800	304960
1	10	3351	300800	3680	560	496360
1	10	3451	13600	80	0	11120
1	10	3551	111600	800	480	118080
1	10	41	225200	960	1280	204120
1	10	4151	444800	4240	2640	733520
1	10	4251	841600	8400	2720	1245120
1	10	4351	918000	10320	1280	1286680
1	10	4352	592000	6400	2080	957160
1	10	51	724400	5120	3840	922800
1	10	5151	36800	240	0	33360
1	10	6151	54800	160	160	33360
1	10	6271	430400	4560	2080	749920
1	10	6452	130000	560	320	99280
1	10	6471	956400	7040	5920	1197240
1	10	71	511600	3280	2800	622240
1	10	7151	232400	1040	800	175680
1	10	7152	474400	3280	2640	612800
1	10	7251	116400	400	160	66720
1	10	7351	360400	1920	1600	361240
1	10	7352	318800	3360	1760	549960
1	10	7451	751200	7120	3280	1166440
1	10	81	106000	1120	160	155120
1	10	8151	301600	1840	1360	340560
1	10	8152	562400	5440	3200	931360
1	10	82	459200	4400	400	554760
1	10	8251	460000	5600	800	740560
1	10	8351	877200	9920	2080	1332360
1	10	8451	615200	6640	800	822080
1	10	8462	210800	2000	160	222400
1	10	8551	634000	5760	480	643520
1	10	8562	40400	560	0	64480
1	10	8651	333200	2240	320	256080
1	10	8652	269200	1840	320	236240
1	10	8663	184000	2000	160	222200
1	10	8664	176400	1920	160	213000
1	10	8665	234000	2560	320	281960
1	10	8666	330000	2160	320	262680
1	10	8751	378000	3360	400	413000
1	10	8762	329600	2160	240	245600
1	10	8763	306400	2000	320	242200
