run	time	domain	spp	0-20	20-40	40-60	60-80	80-100	>100	Tot
1	0	3	BOJ	388	128	84	1284	68	3876	5828
1	0	3	EPN	260	224	240	472	124	140	1460
1	0	3	ERS	1684	1384	840	9168	264	10448	23788
1	0	3	NonFor	5852	1440	0	0	0	0	7292
1	0	3	other	3840	3440	3280	8772	1216	4212	24760
1	0	3	PET	1472	2000	1652	3720	420	408	9672
1	0	3	SAB	984	1992	2332	2872	176	584	8940
1	0	2	BOJ	940	308	68	1596	184	5620	8716
1	0	2	EPN	11608	10776	7936	10240	4508	8884	53952
1	0	2	ERS	648	240	168	1888	52	2976	5972
1	0	2	NonFor	14092	3744	0	0	0	4	17840
1	0	2	other	12960	11032	9040	15688	3744	6456	58920
1	0	2	PET	4736	4956	5892	8020	1372	596	25572
1	0	2	SAB	7536	8652	6736	10636	2220	5228	41008
1	0	1	BOJ	0	0	0	0	0	0	0
1	0	1	EPN	27944	15768	4132	13344	10300	56664	128152
1	0	1	ERS	0	0	0	0	0	0	0
1	0	1	NonFor	32628	9724	0	0	44	88	42484
1	0	1	other	5964	2632	1016	2316	1832	1276	15036
1	0	1	PET	1040	976	272	524	724	156	3692
1	0	1	SAB	3836	3328	840	1392	904	9324	19624
1	5	3	BOJ	336	208	128	1004	392	3384	5452
1	5	3	EPN	216	236	244	360	188	152	1396
1	5	3	ERS	1368	1576	1104	7168	2460	10424	24100
1	5	3	NonFor	4460	2832	0	0	0	0	7292
1	5	3	other	3808	3652	3216	6704	2928	4356	24664
1	5	3	PET	1700	1904	1740	2716	1240	652	9952
1	5	3	SAB	888	1716	2352	2428	800	700	8884
1	5	2	BOJ	1152	480	496	1228	576	5152	9084
1	5	2	EPN	10868	10864	8180	8020	5392	8612	51936
1	5	2	ERS	812	332	440	1492	492	3068	6636
1	5	2	NonFor	10652	7160	24	0	0	4	17840
1	5	2	other	12124	11600	9340	12660	5976	6604	58304
1	5	2	PET	7852	4852	5760	5568	2668	748	27448
1	5	2	SAB	6936	8480	7156	8848	3960	5352	40732
1	5	1	BOJ	0	0	0	0	8	0	8
1	5	1	EPN	24044	20172	5400	9508	10808	54240	124172
1	5	1	ERS	0	0	0	0	0	0	0
1	5	1	NonFor	24804	17324	224	0	36	96	42484
1	5	1	other	4956	3576	1292	1908	1768	1672	15172
1	5	1	PET	3676	1032	456	388	648	232	6432
1	5	1	SAB	3556	3844	1312	1220	1136	9652	20720
1	10	3	BOJ	288	252	164	708	672	3384	5468
1	10	3	EPN	184	256	220	292	252	152	1356
1	10	3	ERS	1216	1688	1440	4932	4800	10452	24528
1	10	3	NonFor	2952	4340	0	0	0	0	7292
1	10	3	other	3744	3832	3200	5012	4312	4228	24328
1	10	3	PET	1952	1784	1904	1840	1896	640	10016
1	10	3	SAB	756	1476	2356	2044	1412	708	8752
1	10	2	BOJ	1196	624	892	828	1080	5248	9868
1	10	2	EPN	9776	10712	8536	6632	5980	8148	49784
1	10	2	ERS	1016	384	684	1016	1072	3128	7300
1	10	2	NonFor	6976	10692	168	0	0	4	17840
1	10	2	other	10968	12268	9676	10072	8244	6460	57688
1	10	2	PET	10480	4828	5396	4028	3612	784	29128
1	10	2	SAB	6508	7836	8204	7048	5508	5268	40372
1	10	1	BOJ	8	0	8	0	8	4	28
1	10	1	EPN	20712	23308	7336	6604	10336	51688	119984
1	10	1	ERS	0	0	0	0	0	0	0
1	10	1	NonFor	17060	24288	1004	0	24	108	42484
1	10	1	other	4212	4456	1580	1480	1744	2084	15556
1	10	1	PET	7164	1032	556	352	564	316	9984
1	10	1	SAB	3380	3984	1528	1384	1268	9408	20952
