run	time	UA	tot.inc	even.age	sup.mat	s.inc.burnt	s.inc.mat.burnt	s.inc.kill	s.inc.mat.kill	cc.area.unaff	cc.area.salvaged	harv.cc.EPN	harv.cc.BOJ	harv.cc.PET	harv.cc.SAB	harv.cc.ERS	harv.cc.other	reg.fail.ex	reg.fail.inc
1	5	11161	4968	4516	1216	0	0	0	0	240	0	40	0	40	128	0	32	0	0
1	5	11262	3304	3060	1032	0	0	0	0	172	0	36	0	48	52	0	36	0	0
1	5	11263	3152	2948	964	0	0	0	0	168	0	20	0	12	112	0	24	0	0
1	5	1171	3068	2204	776	68	16	0	0	72	4	0	0	32	16	0	24	0	24
1	5	121	4672	3536	1116	0	0	0	0	156	0	12	0	24	24	8	88	0	0
1	5	122	4868	3768	1580	16	8	0	0	152	12	24	0	32	40	0	68	0	4
1	5	1272	6204	5636	2236	84	48	0	0	224	48	0	0	12	184	4	72	0	28
1	5	141	2028	1212	664	0	0	0	0	52	0	0	0	8	8	4	32	0	0
1	5	151	4632	2220	1136	12	4	0	0	76	8	0	0	12	16	4	52	0	0
1	5	161	3376	2000	1012	0	0	0	0	84	0	0	0	0	4	0	80	0	0
1	5	171	3544	2968	1164	0	0	0	0	140	0	4	0	0	16	0	120	0	0
1	5	21	1560	1472	408	0	0	0	0	72	0	16	0	28	16	0	12	0	0
1	5	22	1752	1656	252	96	8	0	0	0	0	0	0	0	0	0	0	0	36
1	5	2371	11772	11056	5276	4	0	0	0	524	0	224	4	28	196	0	72	0	4
1	5	2471	14796	14024	7484	164	132	0	0	544	132	520	0	0	124	0	32	12	32
1	5	2571	24056	22840	9604	2836	1492	0	0	884	220	852	0	60	36	0	156	196	1104
1	5	2651	1628	1536	852	84	48	0	0	56	12	56	0	0	4	0	8	0	32
1	5	2661	3880	3684	1340	0	0	0	0	108	0	100	0	0	0	0	8	0	0
1	5	2662	2120	2016	888	0	0	0	0	84	0	84	0	0	0	0	0	0	0
1	5	2663	1420	1324	640	112	80	0	0	56	16	60	0	0	0	0	12	20	16
1	5	2664	3740	3564	1436	700	368	0	0	100	24	104	0	0	4	0	16	20	296
1	5	2665	2960	2824	1424	92	72	0	0	88	20	100	0	0	0	0	8	0	12
