run	time	zone	id.fire	target.area	burnt.area
1	5	ZB	1	128	128
1	5	ZB	2	12	12
1	5	ZB	3	176	176
1	5	ZB	4	868	24
1	5	ZB	5	20	20
1	5	ZB	6	232	232
1	5	ZB	7	8	8
1	5	ZB	8	204	204
1	5	ZB	9	128	128
1	5	ZB	10	8	8
1	5	ZB	11	88	88
1	5	ZB	12	332	332
1	5	ZB	13	64	64
1	5	ZB	14	1472	1472
1	5	ZD	15	0	4
1	5	ZD	16	16	16
1	5	ZD	17	16	16
1	5	ZD	18	0	4
1	5	ZD	19	12	12
1	5	ZC	20	16	16
1	5	ZC	21	68	68
1	5	ZC	22	44	44
1	5	ZC	23	0	4
1	5	ZC	24	60	60
1	5	ZC	25	128	128
1	5	ZC	26	84	84
1	5	ZC	27	112	112
1	5	ZC	28	4	4
1	5	ZC	29	188	188
1	5	ZC	30	136	136
1	5	ZC	31	96	96
1	5	ZC	32	152	152
1	5	ZC	33	88	88
1	5	ZC	34	136	124
1	5	ZA	35	64	64
1	5	ZA	36	1240	1240
1	5	ZA	37	68	68
1	5	ZA	38	244	16
1	5	ZA	39	8	8
1	5	ZA	40	632	632
1	5	ZA	41	1456	1456
1	5	ZA	42	28	28
1	5	ZA	43	108	108
1	5	ZA	44	48	48
1	5	ZA	45	984	984
1	5	ZA	46	72	72
1	5	ZA	47	776	776
1	10	ZD	1	76	76
1	10	ZD	2	52	52
1	10	ZD	3	12	12
1	10	ZD	4	36	36
1	10	ZD	5	28	28
1	10	ZC	6	388	388
1	10	ZC	7	176	176
1	10	ZC	8	4	4
1	10	ZC	9	140	140
1	10	ZC	10	128	128
1	10	ZC	11	36	36
1	10	ZC	12	12	12
1	10	ZC	13	44	44
1	10	ZC	14	144	144
1	10	ZC	15	44	44
1	10	ZC	16	152	152
1	10	ZC	17	52	52
1	10	ZC	18	84	84
1	10	ZC	19	380	380
1	10	ZC	20	32	32
1	10	ZA	21	224	224
1	10	ZA	22	160	160
1	10	ZA	23	768	768
1	10	ZA	24	120	120
1	10	ZA	25	68	68
1	10	ZA	26	60	60
1	10	ZA	27	72	72
1	10	ZA	28	92	92
1	10	ZA	29	176	176
1	10	ZA	30	392	392
1	10	ZA	31	80	80
1	10	ZA	32	8	8
1	10	ZA	33	16	16
1	10	ZB	34	812	812
1	10	ZB	35	8	8
1	10	ZB	36	208	208
1	10	ZB	37	68	68
1	10	ZB	38	168	168
1	10	ZB	39	20	20
1	10	ZB	40	1776	1776
1	10	ZB	41	240	240
1	10	ZB	42	24	24
1	10	ZB	43	124	124
1	10	ZB	44	16	16
1	10	ZB	45	144	144
1	10	ZB	46	1752	1752
1	10	ZB	47	116	116
1	15	ZB	1	60	60
1	15	ZB	2	1148	1148
1	15	ZB	3	28	28
1	15	ZB	4	28	28
1	15	ZB	5	80	80
1	15	ZB	6	1844	1844
1	15	ZB	7	88	88
1	15	ZB	8	136	136
1	15	ZB	9	148	40
1	15	ZB	10	524	524
1	15	ZB	11	948	28
1	15	ZB	12	128	128
1	15	ZB	13	32	32
1	15	ZB	14	92	92
1	15	ZD	15	4	4
1	15	ZD	16	40	40
1	15	ZD	17	60	60
1	15	ZD	18	44	44
1	15	ZD	19	36	36
1	15	ZC	20	140	140
1	15	ZC	21	12	12
1	15	ZC	22	80	80
1	15	ZC	23	192	192
1	15	ZC	24	28	28
1	15	ZC	25	172	172
1	15	ZC	26	96	96
1	15	ZC	27	116	116
1	15	ZC	28	20	20
1	15	ZC	29	44	44
1	15	ZC	30	168	168
1	15	ZC	31	124	124
1	15	ZC	32	136	136
1	15	ZC	33	60	60
1	15	ZC	34	60	60
1	15	ZA	35	80	80
1	15	ZA	36	228	228
1	15	ZA	37	48	48
1	15	ZA	38	72	72
1	15	ZA	39	1848	1848
1	15	ZA	40	108	108
1	15	ZA	41	120	120
1	15	ZA	42	1728	1728
1	15	ZA	43	1652	1652
1	15	ZA	44	1036	1036
1	15	ZA	45	96	96
1	15	ZA	46	1328	1328
1	15	ZA	47	792	792
1	15	ZA	48	52	52
