ref.harv.level	ref.harv.level.cp
11	296	96
111	140	36
11161	240	64
11262	172	28
11263	168	32
1171	72	32
121	156	64
122	164	68
1272	272	76
141	52	12
151	84	44
161	84	40
171	140	68
21	72	16
22	0	8
2371	524	88
2471	676	76
2571	1104	164
2651	68	8
2661	108	16
2662	84	8
2663	72	8
2664	124	16
2665	108	20
2666	56	12
2751	432	72
3153	40	4
3171	84	40
3351	140	24
3451	4	0
3551	28	8
41	40	28
4151	180	72
4251	336	116
4351	408	48
4352	264	84
51	128	84
5151	12	0
6151	8	0
6271	184	48
6452	24	8
6471	276	116
71	132	68
7151	44	32
7152	132	64
7251	16	4
7351	76	24
7352	132	52
7451	292	148
81	48	16
8151	72	16
8152	216	80
82	80	28
8251	224	40
8351	404	88
8451	260	44
8462	84	12
8551	232	32
8562	20	4
8651	88	16
8652	72	12
8663	84	12
8664	76	12
8665	100	16
8666	124	16
8751	144	24
8762	92	16
8763	84	16
8764	120	20
91	120	24
9351	700	96
9352	300	32
9471	740	96
9551	80	12
9751	424	60
