run	time	UA	uneven.age	sup.mat	s.rec.pc	harv.pc.EPN	harv.pc.BOJ	harv.pc.PET	harv.pc.SAB	harv.pc.ERS	harv.pc.other
1	5	11161	536	144	64	8	0	12	32	0	12
1	5	11262	208	92	28	4	0	4	16	0	4
1	5	11263	240	124	32	4	0	4	8	0	16
1	5	1171	884	64	32	0	0	4	12	0	16
1	5	121	1100	128	64	0	0	8	20	0	36
1	5	122	1096	136	68	4	0	16	20	0	28
1	5	1272	604	212	76	0	0	4	48	0	24
1	5	141	784	24	12	0	0	4	4	0	4
1	5	151	2452	88	44	0	0	8	16	0	20
1	5	161	1380	76	40	4	0	0	0	0	36
1	5	171	608	148	68	0	0	4	4	0	60
1	5	21	108	56	16	4	0	4	4	0	4
1	5	22	72	48	8	4	0	0	0	0	4
1	5	2371	712	512	88	32	24	0	28	0	4
1	5	2471	628	312	76	60	0	0	12	0	4
1	5	2571	1320	780	164	100	4	4	28	0	28
1	5	2651	72	56	8	4	0	0	4	0	0
1	5	2661	204	96	16	16	0	0	0	0	0
1	5	2662	60	36	8	4	0	0	0	0	4
1	5	2663	60	32	8	8	0	0	0	0	0
1	5	2664	164	84	16	12	0	0	4	0	0
1	5	2665	216	128	20	16	0	0	0	0	4
1	5	2666	112	68	12	12	0	0	0	0	0
1	5	2751	492	336	72	32	0	4	36	0	0
1	5	3153	56	16	4	0	0	0	4	0	0
1	5	3171	684	80	40	4	0	4	20	0	12
1	5	3351	212	72	24	4	0	0	16	0	4
1	5	3451	44	4	0	0	0	0	0	0	0
1	5	3551	252	16	8	0	0	0	8	0	0
1	5	41	876	56	28	0	0	0	8	0	20
1	5	4151	1420	148	72	16	0	16	16	0	24
1	5	4251	1044	236	116	24	0	28	8	0	56
1	5	4351	416	260	48	32	0	0	0	0	16
1	5	4352	696	184	84	8	0	24	4	0	48
1	5	51	2476	168	84	0	0	8	36	0	40
1	5	5151	144	0	0	0	0	0	0	0	0
1	5	6151	368	0	0	0	0	0	0	0	0
1	5	6271	1272	100	48	0	0	12	24	0	12
1	5	6452	924	20	8	0	0	4	0	0	4
1	5	6471	3628	232	116	20	0	8	12	0	76
1	5	71	2180	136	68	0	0	16	12	0	40
1	5	7151	1268	64	32	0	0	4	0	0	28
1	5	7152	1864	132	64	4	0	12	16	0	32
1	5	7251	864	8	4	0	0	0	0	0	4
1	5	7351	1888	44	24	0	0	0	12	0	12
1	5	7352	860	104	52	8	0	4	0	0	40
1	5	7451	1432	296	148	8	0	16	4	0	120
1	5	81	108	84	16	0	0	8	4	0	4
1	5	8151	1580	36	16	0	0	4	0	0	12
1	5	8152	1348	160	80	4	0	16	4	0	56
1	5	82	244	132	28	8	0	16	0	0	4
1	5	8251	312	164	40	4	0	16	12	0	8
1	5	8351	680	232	88	40	0	4	0	0	44
1	5	8451	328	244	44	32	0	4	8	0	0
1	5	8462	116	56	12	4	0	4	0	0	4
1	5	8551	308	180	32	28	0	0	0	0	4
1	5	8562	16	16	4	4	0	0	0	0	0
1	5	8651	120	80	16	8	0	0	0	0	8
1	5	8652	104	72	12	8	0	4	0	0	0
1	5	8663	96	68	12	12	0	0	0	0	0
1	5	8664	108	80	12	8	0	0	0	0	4
1	5	8665	116	84	16	16	0	0	0	0	0
1	5	8666	140	108	16	16	0	0	0	0	0
1	5	8751	204	144	24	16	0	4	0	0	4
1	5	8762	188	96	16	16	0	0	0	0	0
1	5	8763	148	88	16	12	0	0	0	0	4
1	5	8764	200	100	20	16	0	4	0	0	0
1	5	91	164	116	24	12	0	0	12	0	0
1	5	9351	828	524	96	72	0	4	12	0	8
1	5	9352	372	236	32	24	0	0	4	0	4
1	5	9471	732	640	96	80	0	0	16	0	0
1	5	9551	76	64	12	0	0	0	8	0	4
1	5	9751	580	304	60	28	0	8	16	0	8
1	10	11	1500	264	176	8	20	64	24	32	28
1	10	111	600	112	68	4	12	4	8	24	16
1	10	11161	536	128	64	4	0	12	24	12	12
1	10	11262	284	120	36	4	0	4	8	4	16
1	10	11263	188	80	24	0	8	0	12	4	0
1	10	1171	844	68	68	0	4	12	20	0	32
1	10	121	1180	180	128	4	8	12	32	36	36
1	10	122	1096	128	112	8	4	12	24	16	48
1	10	1272	664	200	80	4	4	8	28	4	32
1	10	141	820	40	40	0	4	4	4	8	20
1	10	151	2448	120	120	0	4	20	32	12	52
1	10	161	1404	72	72	0	0	4	0	16	52
1	10	171	564	108	64	0	0	4	8	4	48
1	10	21	128	56	20	0	8	12	0	0	0
1	10	22	120	80	16	0	4	4	0	0	8
1	10	2371	812	536	108	16	24	0	56	0	12
1	10	2471	772	404	92	52	4	0	32	0	4
1	10	2571	1476	664	156	124	0	4	8	0	20
1	10	2651	116	88	16	12	0	0	0	0	4
1	10	2661	196	100	16	12	0	0	0	0	4
1	10	2662	80	48	8	8	0	0	0	0	0
1	10	2663	64	36	8	8	0	0	0	0	0
1	10	2664	228	76	16	12	0	0	0	0	4
1	10	2665	184	104	16	16	0	0	0	0	0
1	10	2666	80	24	4	4	0	0	0	0	0
1	10	2751	392	212	52	36	0	0	16	0	0
1	10	3153	64	40	8	0	0	0	4	0	4
1	10	3171	664	48	48	4	4	4	32	0	4
1	10	3351	308	120	40	8	0	8	4	0	20
1	10	3451	48	4	4	0	0	0	0	0	0
1	10	3551	264	20	20	8	0	4	4	0	4
1	10	41	864	20	20	0	0	4	4	8	4
1	10	4151	1400	148	144	8	16	28	52	8	32
1	10	4251	1160	228	136	16	16	8	24	8	64
1	10	4351	532	320	56	12	4	0	4	0	36
1	10	4352	768	172	100	4	4	32	0	16	44
1	10	51	2484	212	212	4	4	16	60	48	80
1	10	5151	148	4	4	0	0	0	0	0	0
1	10	6151	376	8	8	0	0	0	8	0	0
1	10	6271	1284	140	128	4	4	12	40	16	52
1	10	6452	904	28	28	0	4	8	4	0	12
1	10	6471	3648	264	264	36	16	20	32	16	144
1	10	71	2180	88	88	4	0	20	8	16	40
1	10	7151	1220	56	56	0	8	4	0	8	36
1	10	7152	1872	148	148	0	16	20	8	24	80
1	10	7251	832	16	16	0	0	4	0	4	8
1	10	7351	1900	64	64	0	0	20	12	12	20
1	10	7352	856	100	92	12	12	4	8	4	52
1	10	7451	1400	276	152	8	24	12	16	12	80
1	10	81	40	20	4	0	0	4	0	0	0
1	10	8151	1572	72	72	0	0	4	4	8	56
1	10	8152	1372	212	152	0	12	40	4	12	84
1	10	82	236	140	28	0	0	20	4	4	0
1	10	8251	332	176	44	12	0	12	12	0	8
1	10	8351	756	276	100	24	12	4	12	4	44
1	10	8451	356	188	36	20	4	0	8	0	4
1	10	8462	108	68	12	12	0	0	0	0	0
1	10	8551	368	204	40	28	0	4	0	0	8
1	10	8562	28	20	4	4	0	0	0	0	0
1	10	8651	140	88	16	12	0	0	0	0	4
1	10	8652	128	56	12	8	0	4	0	0	0
1	10	8663	92	60	8	8	0	0	0	0	0
1	10	8664	84	60	8	4	0	0	0	0	4
1	10	8665	152	112	20	20	0	0	0	0	0
1	10	8666	200	104	16	16	0	0	0	0	0
1	10	8751	144	92	20	12	0	4	0	0	4
1	10	8762	200	112	20	12	0	0	0	0	8
1	10	8763	180	104	20	20	0	0	0	0	0
1	10	8764	228	124	24	24	0	0	0	0	0
1	10	91	108	76	16	12	0	0	4	0	0
1	10	9351	812	500	96	56	4	12	20	0	4
1	10	9352	380	236	32	32	0	0	0	0	0
1	10	9471	732	572	88	64	0	0	24	0	0
1	10	9551	84	68	12	8	0	0	4	0	0
1	10	9751	664	368	76	52	8	4	4	4	4
