run	time	zone	brulcl1	brulcl2	brulcl3	zon.cl1	zon.cl12	zon.cl3
1	5	ZB	0.26	0.38	0.36	0.4	0.27	0.32
1	5	ZD	0.38	0.15	0.46	0.75	0.16	0.09
1	5	ZC	0.24	0.2	0.56	0.44	0.2	0.36
1	5	ZA	0.12	0.41	0.47	0.3	0.35	0.36
1	10	ZD	0.69	0.27	0.04	0.75	0.15	0.1
1	10	ZC	0.17	0.24	0.59	0.44	0.2	0.35
1	10	ZA	0.13	0.4	0.47	0.3	0.36	0.34
1	10	ZB	0.09	0.41	0.5	0.4	0.28	0.31
1	15	ZB	0.12	0.31	0.57	0.41	0.29	0.3
1	15	ZD	0.43	0.22	0.35	0.75	0.15	0.1
1	15	ZC	0.13	0.25	0.63	0.45	0.21	0.34
1	15	ZA	0.12	0.41	0.47	0.3	0.37	0.34
