run	time	BCDomain	Spp	poor	med	good
1	0	D1	SAB	8576	61604	11560
1	0	D3	SAB	280	172668	39032
1	0	D6	SAB	56	208392	540
1	0	D1	EPN	77020	4720	0
1	0	D3	EPN	35372	166740	9868
1	0	D6	EPN	56	47532	161400
1	0	D1	PET	284	4044	77412
1	0	D3	PET	10724	15460	185796
1	0	D6	PET	142112	42436	24440
1	0	D1	BOJ	12500	33104	36136
1	0	D3	BOJ	94140	52260	65580
1	0	D6	BOJ	208112	848	28
1	0	D1	ERS	3008	19244	59488
1	0	D3	ERS	162560	44008	5412
1	0	D6	ERS	208988	0	0
1	0	D1	other	284	25420	56036
1	0	D3	other	11704	196112	4164
1	0	D6	other	146340	62648	0
1	5	D1	SAB	27032	53648	1060
1	5	D3	SAB	476	173608	37896
1	5	D6	SAB	56	205304	3628
1	5	D1	EPN	81624	116	0
1	5	D3	EPN	124812	86984	184
1	5	D6	EPN	2240	137732	69016
1	5	D1	PET	284	14544	66912
1	5	D3	PET	700	1540	209740
1	5	D6	PET	55144	31060	122784
1	5	D1	BOJ	35812	36940	8988
1	5	D3	BOJ	15404	68680	127896
1	5	D6	BOJ	160656	39696	8636
1	5	D1	ERS	348	3828	77564
1	5	D3	ERS	74564	79244	58172
1	5	D6	ERS	204196	4764	28
1	5	D1	other	284	3328	78128
1	5	D3	other	796	161208	49976
1	5	D6	other	57380	151608	0
1	10	D1	SAB	40716	40688	336
1	10	D3	SAB	1192	191764	19024
1	10	D6	SAB	56	206868	2064
1	10	D1	EPN	81720	20	0
1	10	D3	EPN	161960	49992	28
1	10	D6	EPN	10360	158936	39692
1	10	D1	PET	284	25820	55636
1	10	D3	PET	332	460	211188
1	10	D6	PET	32220	20556	156212
1	10	D1	BOJ	48988	30000	2752
1	10	D3	BOJ	9232	61812	140936
1	10	D6	BOJ	115096	53956	39936
1	10	D1	ERS	296	3688	77756
1	10	D3	ERS	32736	81128	98116
1	10	D6	ERS	189292	19564	132
1	10	D1	other	284	560	80896
1	10	D3	other	336	122808	88836
1	10	D6	other	34176	174728	84
