run	time	UA	SProd_ha	S_CC_ha_an	S_PC_ha_an	vol
1	5	11	764400	5920	1920	907720
1	5	111	321200	2800	720	420800
1	5	11161	496800	4800	1280	667920
1	5	11262	330400	3440	560	481120
1	5	11263	315200	3360	640	486640
1	5	1171	306800	1440	640	231720
1	5	121	467200	3120	1280	486800
1	5	122	486800	3280	1360	522320
1	5	1272	620400	5440	1520	835520
1	5	141	202800	1040	240	160040
1	5	151	463200	1680	880	279640
1	5	161	337600	1680	800	265440
1	5	171	354400	2800	1360	462920
1	5	21	156000	1440	320	206040
1	5	22	175200	0	160	7360
1	5	2371	1177200	10480	1760	1395960
1	5	2471	1479600	13520	1520	1589760
1	5	2571	2405600	22080	3280	2582520
1	5	2651	162800	1360	160	159720
1	5	2661	388000	2160	320	249520
1	5	2662	212000	1680	160	185200
1	5	2663	142000	1440	160	156960
1	5	2664	374000	2480	320	275640
1	5	2665	296000	2160	400	231960
1	5	2666	189600	1120	240	125280
1	5	2751	970000	8640	1440	1050400
1	5	3153	114400	800	80	109280
1	5	3171	224800	1680	800	261400
1	5	3351	300800	2800	480	354680
1	5	3451	13600	80	0	11120
1	5	3551	111600	560	160	74800
1	5	41	225200	800	560	148280
1	5	4151	444800	3600	1440	581200
1	5	4251	841600	6720	2320	983200
1	5	4351	918000	8160	960	1040080
1	5	4352	592000	5280	1680	805360
1	5	51	724400	2560	1680	448800
1	5	5151	36800	240	0	30720
1	5	6151	54800	160	0	22240
1	5	6271	430400	3680	960	559160
1	5	6452	130000	480	160	77840
1	5	6471	956400	5520	2320	848880
1	5	71	511600	2640	1360	455400
1	5	7151	232400	880	640	165040
1	5	7152	474400	2640	1280	418160
1	5	7251	116400	320	80	47520
1	5	7351	360400	1520	480	236880
1	5	7352	318800	2640	1040	421040
1	5	7451	751200	5840	2960	948440
1	5	81	106000	960	320	151360
1	5	8151	301600	1440	320	208200
1	5	8152	562400	4320	1600	689520
1	5	82	459200	1600	560	210560
1	5	8251	460000	4480	800	585080
1	5	8351	877200	8080	1760	1129440
1	5	8451	615200	5200	880	646880
1	5	8462	210800	1680	240	204240
1	5	8551	634000	4640	640	541160
1	5	8562	40400	400	80	38000
1	5	8651	333200	1760	320	214800
1	5	8652	269200	1440	240	171240
1	5	8663	184000	1680	240	187640
1	5	8664	176400	1520	240	171800
1	5	8665	234000	2000	320	221440
1	5	8666	330000	2480	320	285280
1	5	8751	378000	2880	480	361320
1	5	8762	329600	1840	320	215120
1	5	8763	306400	1680	320	207320
1	5	8764	381600	2400	400	284720
1	5	91	241200	2400	480	331640
1	5	9351	1529200	14000	1920	1680160
1	5	9352	742800	6000	640	680720
1	5	9471	1474400	14800	1920	1742840
1	5	9551	156800	1600	240	208440
1	5	9751	1051200	8480	1200	1053280
1	10	11	764400	5920	3520	1002400
1	10	111	321200	2800	1360	472800
1	10	11161	496800	4800	1280	684520
1	10	11262	330400	3440	720	474520
1	10	11263	315200	3360	480	470240
1	10	1171	306800	1440	1360	267160
1	10	121	467200	3120	2560	537520
1	10	122	486800	3280	2240	566640
1	10	1272	620400	5440	1600	829800
1	10	141	202800	1040	800	174880
1	10	151	463200	1680	2400	378080
1	10	161	337600	1680	1440	316560
1	10	171	354400	2800	1280	468480
1	10	21	156000	1440	400	220360
1	10	22	175200	0	320	19520
1	10	2371	1177200	10480	2160	1415920
1	10	2471	1479600	13520	1840	1633320
1	10	2571	2405600	22160	3120	2577680
1	10	2651	162800	1360	320	178120
1	10	2661	388000	2160	320	254280
1	10	2662	212000	1680	160	189040
1	10	2663	142000	1440	160	163120
1	10	2664	374000	2480	320	297720
1	10	2665	296000	2080	320	234480
1	10	2666	189600	1120	80	128960
1	10	2751	970000	8560	1040	996920
1	10	3153	114400	800	160	114400
1	10	3171	224800	1680	960	275440
1	10	3351	300800	2800	800	392040
1	10	3451	13600	80	0	11120
1	10	3551	111600	560	400	94680
1	10	41	225200	800	400	137000
1	10	4151	444800	3600	2880	653280
1	10	4251	841600	6720	2720	999280
1	10	4351	918000	8160	1120	1037120
1	10	4352	592000	5280	2000	826400
1	10	51	724400	2560	4240	608480
1	10	5151	36800	240	0	33360
1	10	6151	54800	160	160	32800
1	10	6271	430400	3680	2560	637840
1	10	6452	130000	480	560	94280
1	10	6471	956400	5520	5280	978640
1	10	71	511600	2640	1760	460600
1	10	7151	232400	880	1120	200160
1	10	7152	474400	2640	2960	546360
1	10	7251	116400	320	320	66560
1	10	7351	360400	1520	1280	285440
1	10	7352	318800	2640	1840	453840
1	10	7451	751200	5840	3040	945200
1	10	81	106000	960	80	135320
1	10	8151	301600	1440	1440	285880
1	10	8152	562400	4320	3040	792800
1	10	82	459200	1600	560	241720
1	10	8251	460000	4480	880	616960
1	10	8351	877200	8080	2000	1131360
1	10	8451	615200	5200	720	639360
1	10	8462	210800	1680	240	191440
1	10	8551	634000	4640	800	548160
1	10	8562	40400	400	80	46640
1	10	8651	333200	1760	320	220280
1	10	8652	269200	1440	240	178120
1	10	8663	184000	1680	160	175360
1	10	8664	176400	1520	160	168200
1	10	8665	234000	2000	400	226840
1	10	8666	330000	2480	320	280360
1	10	8751	378000	2880	400	352440
1	10	8762	329600	1840	400	222720
1	10	8763	306400	1680	400	206240
1	10	8764	381600	2400	480	284640
1	10	91	241200	2400	320	324920
1	10	9351	1529200	14000	2000	1700280
1	10	9352	742800	6000	640	674240
1	10	9471	1474400	14800	1760	1747240
1	10	9551	156800	1600	240	199320
1	10	9751	1051200	8480	1520	1011560
